字段1_文本,字段1_链接,字段2,字段3,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,是否有直接保险需求
探险游应注意免责条款,https://tieba.baidu.com/p/5072645260,1,"
            4-14        ",,,,,,
春节出行意外险不可少,https://tieba.baidu.com/p/5072640890,1,"
            4-14        ",,,,,,
亲民措施多 百姓兴致高,https://tieba.baidu.com/p/5072636840,2,"
            4-14        ",,,,,,
平安寿险当家网红百万任我行重磅升级,https://tieba.baidu.com/p/5072148827,0,"
            4-14        ",,,,,,
自驾游如何投保车上人员责任险？,https://tieba.baidu.com/p/5019601867,4,"
            4-14        ",,,,,,
河北保定中国人寿,https://tieba.baidu.com/p/5071409659,1,"
            4-13        ",,,,,,
出境务工人员应当投保团体险,https://tieba.baidu.com/p/5019605820,3,"
            4-13        ",,,,,,
五一去黄山应当如何选择保障？,https://tieba.baidu.com/p/5022677224,2,"
            4-13        ",,,,,,
五一出门旅行如何给安全添加保障？,https://tieba.baidu.com/p/5022681129,1,"
            4-13        ",,,,,,
旅游定要准备意外险,https://tieba.baidu.com/p/5069614852,2,"
            4-13        ",,,,,,
出国留学该如何正确选择保险,https://tieba.baidu.com/p/5070469041,3,"
            4-13        ",,,,,,
学会在众多旅游意外险中选择合适的,https://tieba.baidu.com/p/5071130390,1,"
            4-13        ",,,,,,
全面介绍家财险的各项保障,https://tieba.baidu.com/p/5071139362,2,"
            4-13        ",,,,,,
★天安人寿增强版吉祥树2号（又,https://tieba.baidu.com/p/5044547070,0,"
            4-13        ",,,,,,
天安人寿吉祥树2号——多重拥有,https://tieba.baidu.com/p/5066837054,0,"
            4-13        ",,,,,,
爸妈五十多岁了，可以买保险吗,https://tieba.baidu.com/p/5030992869,17,"
            4-13        ",,,,,,
根据出行地点选择保险种类,https://tieba.baidu.com/p/5070474138,0,"
            4-13        ",,,,,,
根据出行方式选择保险种类,https://tieba.baidu.com/p/5070472673,1,"
            4-13        ",,,,,,
如何选择适合自己的旅游意外险,https://tieba.baidu.com/p/5069620915,1,"
            4-12        ",,,,,,
夏季旅行适合选择北戴河,https://tieba.baidu.com/p/5069617855,1,"
            4-12        ",,,,,,
了解目标国对境外游客的签证要求,https://tieba.baidu.com/p/5069611210,1,"
            4-12        ",,,,,,
我想买保险，不知道买什么保险，,https://tieba.baidu.com/p/5026248440,2,"
            4-12        ",,,,,,
旅游旺季出行应如何选择意外险？,https://tieba.baidu.com/p/5037118106,3,"
            4-12        ",,,,,,
畅游在外应如何选择户外险,https://tieba.baidu.com/p/5045353038,2,"
            4-12        ",,,,,,
旅行前应了解旅游保险的一些种类,https://tieba.baidu.com/p/5045361662,3,"
            4-12        ",,,,,,
准备买份保险，求推荐，介绍,https://tieba.baidu.com/p/5017989663,10,"
            4-12        ",,,,,,
想给宝宝买医疗保险，求高手指点,https://tieba.baidu.com/p/5007486423,22,"
            4-12        ",,,,,,
【防忽悠系列一】部分重疾产品对比图，简单易懂，防忽悠。,https://tieba.baidu.com/p/4921456053,4,"
            4-12        ",,,,,,
震撼全球的六大奇观,https://tieba.baidu.com/p/5068983904,1,"
            4-12        ",,,,,,
去申根国家旅行需投保足额旅游境外险,https://tieba.baidu.com/p/5068981172,1,"
            4-12        ",,,,,,
今年7月1日起，个人向境外转账,https://tieba.baidu.com/p/5068435392,0,"
            4-11        ",,,,,,
解读境外旅游险的一些注意事项,https://tieba.baidu.com/p/5068014300,0,"
            4-11        ",,,,,,
自驾游意外险如何理赔 技巧有哪些,https://tieba.baidu.com/p/5068010882,1,"
            4-11        ",,,,,,
机场投保境外旅游保险的好处,https://tieba.baidu.com/p/5068007605,2,"
            4-11        ",,,,,,
智利红酒之旅 您准备好了吗,https://tieba.baidu.com/p/5067908459,1,"
            4-11        ",,,,,,
旅游出行的一些安全小贴士,https://tieba.baidu.com/p/5067902957,2,"
            4-11        ",,,,,,
健康，养老,https://tieba.baidu.com/p/5067796280,0,"
            4-11        ",,,,,,
宝宝刚刚出生，想跟他买个保险。国寿福这款产品怎么样,https://tieba.baidu.com/p/4889999741,70,"
            4-11        ",,,,,,
热气球旅行需注意个人安全保障,https://tieba.baidu.com/p/5067362002,1,"
            4-11        ",,,,,,
华夏健康险《常青树2017全能,https://tieba.baidu.com/p/5067285187,0,"
            4-11        ",,,,,,
澳大利亚出国保险购买指南,https://tieba.baidu.com/p/5041890015,1,"
            4-10        ",,,,,,
澳洲旅行有必要注意保险方面的保障,https://tieba.baidu.com/p/5058567516,2,"
            4-10        ",,,,,,
解析几点旅游保险的注意事项,https://tieba.baidu.com/p/5058581274,3,"
            4-10        ",,,,,,
去澳洲需要办理相应的签证保险,https://tieba.baidu.com/p/5058570749,2,"
            4-10        ",,,,,,
寻找四月时节最美的风景,https://tieba.baidu.com/p/5059417858,3,"
            4-10        ",,,,,,
去塞舌尔旅行是否必备旅游保险,https://tieba.baidu.com/p/5060438447,2,"
            4-10        ",,,,,,
出国旅游应当注意投保范围,https://tieba.baidu.com/p/5065719642,2,"
            4-10        ",,,,,,
如何为春节旅游做准备,https://tieba.baidu.com/p/5065730952,1,"
            4-10        ",,,,,,
新西兰已成为国人最满意旅游城市,https://tieba.baidu.com/p/5065728349,1,"
            4-10        ",,,,,,
海南已成为热门旅游购物城市,https://tieba.baidu.com/p/5065725750,1,"
            4-10        ",,,,,,
想量身订做一个保险,https://tieba.baidu.com/p/5031564017,5,"
            4-10        ",,,,,,
澳门旅游投保应当考虑实际情况,https://tieba.baidu.com/p/5065648861,0,"
            4-10        ",,,,,,
提供保险服务,https://tieba.baidu.com/p/5065419110,0,"
            4-10        ",,,,,,
有智慧的妈咪的选择是对的路过的来看看看,https://tieba.baidu.com/p/5064214023,0,"
            4-9        ",,,,,,
选择对了行业你会坚持到底的,https://tieba.baidu.com/p/5063207402,0,"
            4-8        ",,,,,,
买华夏常青树2017怎么样？,https://tieba.baidu.com/p/4985186919,4,"
            4-8        ",,,,,,
还不知道买什么产品吗？看看华夏的产品吧！,https://tieba.baidu.com/p/5062198134,0,"
            4-8        ",,,,,,
积德行善,https://tieba.baidu.com/p/5060951868,0,"
            4-7        ",,,,,,
人间四月天 国内哪些地方适合赏花,https://tieba.baidu.com/p/5060443274,2,"
            4-7        ",,,,,,
四月最值得去的海岛游,https://tieba.baidu.com/p/5060435754,2,"
            4-7        ",,,,,,
华夏的常青树怎么样，大人孩子都,https://tieba.baidu.com/p/5029076555,10,"
            4-7        ",,,,,,
四月最适合出游地区大盘点,https://tieba.baidu.com/p/5059414208,2,"
            4-6        ",,,,,,
五大道赏海棠之旅必备旅行险,https://tieba.baidu.com/p/5059409072,2,"
            4-6        ",,,,,,
健康百分百是泰康人寿成立20年，回馈泰康新老客户健康保险,https://tieba.baidu.com/p/5052475601,5,"
            4-6        ",,,,,,
长假出游应当适当选择旅游保险,https://tieba.baidu.com/p/5058577840,1,"
            4-6        ",,,,,,
华夏的福临门怎么样，都有什么,https://tieba.baidu.com/p/5036158713,1,"
            4-5        ",,,,,,
想给老爸买一份保险 有推荐给吗 加我微信号,https://tieba.baidu.com/p/5043143042,2,"
            4-5        ",,,,,,
买保险,https://tieba.baidu.com/p/5007033796,25,"
            3-30        ",,,,,,
想买份保险不知道买什么样的,https://tieba.baidu.com/p/5042600931,7,"
            4-5        ",,,,,,
想给孩子买个教育金，哪种好,https://tieba.baidu.com/p/5023165639,21,"
            4-5        ",,,,,,
我想和父母买一款保险，有没有专业人士推荐一下,https://tieba.baidu.com/p/5050611094,1,"
            4-5        ",,,,,,
我想买一份学生保险,https://tieba.baidu.com/p/5048228968,6,"
            4-5        ",,,,,,
你好，你们保险公司,https://tieba.baidu.com/p/5044643494,3,"
            4-5        ",,,,,,
对保险不太了解,https://tieba.baidu.com/p/5042602868,21,"
            4-5        ",,,,,,
爱你胜过一切,https://tieba.baidu.com/p/5056768303,0,"
            4-5        ",,,,,,
一份礼物，一声守候,https://tieba.baidu.com/p/5055705930,1,"
            4-4        ",,,,,,
如果你都不爱惜自己，那我也不会劝你规划保险...,https://tieba.baidu.com/p/5054832941,0,"
            4-4        ",,,,,,
【新华人寿·多倍保】详细解析，多次赔付只是看上去很美,https://tieba.baidu.com/p/5048630997,1,"
            4-2        ",,,,,,
申根国家对境外签证旅游险的要求,https://tieba.baidu.com/p/5051120265,2,"
            4-1        ",,,,,,
旅行签证保险需要有所了解,https://tieba.baidu.com/p/5051115005,2,"
            4-1        ",,,,,,
欧洲签证旅行保险投保须知,https://tieba.baidu.com/p/5051111604,1,"
            4-1        ",,,,,,
去澳洲读书或旅游需要投保,https://tieba.baidu.com/p/5051106259,1,"
            4-1        ",,,,,,
百万任我行,https://tieba.baidu.com/p/5050709933,1,"
            4-1        ",,,,,,
旅游有风险 投保旅游险应注意,https://tieba.baidu.com/p/5049393512,2,"
            3-31        ",,,,,,
旅游在外提前购买旅游险更安心,https://tieba.baidu.com/p/5049389614,1,"
            3-31        ",,,,,,
云南旅游 要投保一份可靠的旅游险,https://tieba.baidu.com/p/5049386110,1,"
            3-31        ",,,,,,
弄清旅游险和意外险让出行更贴心,https://tieba.baidu.com/p/5049380913,2,"
            3-31        ",,,,,,
读懂旅游险 旅游更安心,https://tieba.baidu.com/p/5049377549,2,"
            3-31        ",,,,,,
给孩子买保险，意外 重疾 轻症,https://tieba.baidu.com/p/5033599629,10,"
            3-31        ",,,,,,
苏黎世百万人生意外险——市场上性价比最高的意外险,https://tieba.baidu.com/p/4744022295,38,"
            3-31        ",,,,,,
华夏福给爱的人一生守护～,https://tieba.baidu.com/p/5048897809,0,"
            3-31        ",,,,,,
低保费，高保额，全球责任，在线投保的意外险产品详情,https://tieba.baidu.com/p/4925397894,6,"
            3-31        ",,,,,,
多次赔付不分组重疾,https://tieba.baidu.com/p/5047836442,0,"
            3-30        ",,,,,,
家庭理财要根据成员成长阶段,https://tieba.baidu.com/p/5047797995,2,"
            3-30        ",,,,,,
关于保险，我的原则是： 必须宣,https://tieba.baidu.com/p/5047553185,0,"
            3-30        ",,,,,,
欧洲旅游应如何选择境外旅游险,https://tieba.baidu.com/p/5045357317,4,"
            3-30        ",,,,,,
买财富传承险，只为名下资产合理避税。,https://tieba.baidu.com/p/5045541083,0,"
            3-29        ",,,,,,
外出旅游时应了解旅游保险投保误区,https://tieba.baidu.com/p/5045364818,2,"
            3-29        ",,,,,,
选择正确的旅游保险十分重要,https://tieba.baidu.com/p/5045355171,2,"
            3-29        ",,,,,,
太多了，也比较忙，有好介绍留言,https://tieba.baidu.com/p/5014891291,1,"
            3-29        ",,,,,,
买份意外险在哪买,https://tieba.baidu.com/p/5042961602,2,"
            3-28        ",,,,,,
严正申明,https://tieba.baidu.com/p/5044410199,0,"
            3-28        ",,,,,,
乘飞机出行需要按需进行投保,https://tieba.baidu.com/p/5043624006,0,"
            3-28        ",,,,,,
我发表了一篇图片贴，大伙来看看吧~,https://tieba.baidu.com/p/5044322050,0,"
            3-28        ",,,,,,
用良心为客户选产品,https://tieba.baidu.com/p/5044174522,0,"
            3-28        ",,,,,,
云南昆明保险代理人,https://tieba.baidu.com/p/3719189008,0,"
            3-28        ",,,,,,
平安大反馈,https://tieba.baidu.com/p/5043934122,1,"
            3-28        ",,,,,,
孕妇旅行需要带上什么保障？,https://tieba.baidu.com/p/5043620046,2,"
            3-28        ",,,,,,
假期旅行需注意一些常识,https://tieba.baidu.com/p/5043628140,1,"
            3-28        ",,,,,,
旅行险需根据个人实际需要投保,https://tieba.baidu.com/p/5043617352,1,"
            3-28        ",,,,,,
2017年有常青树的人有福啦！商业保险直接报销医疗费,https://tieba.baidu.com/p/4927895495,4,"
            3-27        ",,,,,,
东南亚旅行需看清旅游条款,https://tieba.baidu.com/p/5041895581,2,"
            3-27        ",,,,,,
去美国旅游需注意投保事项,https://tieba.baidu.com/p/5041892717,1,"
            3-27        ",,,,,,
春节旅游需为自己系上保险带,https://tieba.baidu.com/p/5041884994,1,"
            3-27        ",,,,,,
面对出行中的风险需为自己投保,https://tieba.baidu.com/p/5041882536,1,"
            3-27        ",,,,,,
客户朋友们抓紧了哦,https://tieba.baidu.com/p/5040658094,1,"
            3-26        ",,,,,,
天安吉祥树2号，可保大病，可养老，可理财！,https://tieba.baidu.com/p/5033448050,1,"
            3-26        ",,,,,,
【保险大咖秀】保险从业者，敢于直面客户，晒晒自己买了什么保险,https://tieba.baidu.com/p/5040456124,0,"
            3-26        ",,,,,,
加我咨询,https://tieba.baidu.com/p/5039947346,0,"
            3-25        ",,,,,,
空前绝后的理财险，迎面而来，最,https://tieba.baidu.com/p/5027250833,1,"
            3-25        ",,,,,,
转贴:分享自高端医疗保险经纪人邢思森  《【新华人寿·多倍保】...,https://tieba.baidu.com/p/5038326944,0,"
            3-24        ",,,,,,
春节境外旅行保额需充足,https://tieba.baidu.com/p/5037128909,0,"
            3-24        ",,,,,,
自助游需要考虑旅行保障问题,https://tieba.baidu.com/p/5037126460,0,"
            3-24        ",,,,,,
出国旅游应选择何种旅游险,https://tieba.baidu.com/p/5037123786,0,"
            3-24        ",,,,,,
春节期间杭州出游需选意外险,https://tieba.baidu.com/p/5037121326,2,"
            3-24        ",,,,,,
我发表了一篇图片贴，大伙来看看吧~,https://tieba.baidu.com/p/5036985865,0,"
            3-24        ",,,,,,
中国最好的保险，想买保险联系我！,https://tieba.baidu.com/p/5036620999,0,"
            3-23        ",,,,,,
选择合适旅游险为长白山之旅加分,https://tieba.baidu.com/p/5035430795,1,"
            3-23        ",,,,,,
神农架森林之旅应当备好保险保障,https://tieba.baidu.com/p/5035428224,1,"
            3-23        ",,,,,,
夏季庐山之行应当备好何种保障,https://tieba.baidu.com/p/5035425719,1,"
            3-23        ",,,,,,
墨西哥之旅途中应如何投保旅游险,https://tieba.baidu.com/p/5033727363,3,"
            3-22        ",,,,,,
清明期间出游应如何选择意外险,https://tieba.baidu.com/p/5024176277,2,"
            3-22        ",,,,,,
节假日出游应当选择正确保障,https://tieba.baidu.com/p/5030469183,2,"
            3-22        ",,,,,,
选择旅游意外险保额多少合适？,https://tieba.baidu.com/p/5032078723,1,"
            3-22        ",,,,,,
青海湖之旅适合选择什么旅游险,https://tieba.baidu.com/p/5033733172,2,"
            3-22        ",,,,,,
想买理财险，教育金，养老的联系我,https://tieba.baidu.com/p/5033519495,0,"
            3-22        ",,,,,,
人寿保险,https://tieba.baidu.com/p/5032096843,0,"
            3-21        ",,,,,,
自驾游有必要投保划痕险吗,https://tieba.baidu.com/p/5032082610,1,"
            3-21        ",,,,,,
自驾游在外应如何应对风险？,https://tieba.baidu.com/p/5032080792,2,"
            3-21        ",,,,,,
講師級保險理財及信託策劃服務,https://tieba.baidu.com/p/5030768465,0,"
            3-20        ",,,,,,
长假来临意外险保障需要做好,https://tieba.baidu.com/p/5030475837,2,"
            3-20        ",,,,,,
去丹麦旅行选择旅行险有哪些要求？,https://tieba.baidu.com/p/5030473224,1,"
            3-20        ",,,,,,
到揭穿保险骗术吧去看看，有助于识别各种各样的保险骗术,https://tieba.baidu.com/p/4869481294,77,"
            3-19        ",,,,,,
为什么重疾险保额最少要100万？,https://tieba.baidu.com/p/5029385873,0,"
            3-19        ",,,,,,
我是卖化妆品的，有信趣加我微信,https://tieba.baidu.com/p/4991731049,1,"
            3-19        ",,,,,,
这样的保险怎么样？,https://tieba.baidu.com/p/5000641810,34,"
            3-18        ",,,,,,
空前绝后的理财险，迎面而来，最,https://tieba.baidu.com/p/5027331278,0,"
            3-18        ",,,,,,
平安险,https://tieba.baidu.com/p/5016408794,6,"
            3-17        ",,,,,,
怎么买保险不会被忽悠？,https://tieba.baidu.com/p/5026219092,0,"
            3-17        ",,,,,,
平安保险,https://tieba.baidu.com/p/5026039732,0,"
            3-17        ",,,,,,
去东南亚潜水应当选择何种保险？,https://tieba.baidu.com/p/5025757362,0,"
            3-17        ",,,,,,
消费者需保障短途游中的风险,https://tieba.baidu.com/p/5025754494,1,"
            3-17        ",,,,,,
游客选择意外险需根据自身需要,https://tieba.baidu.com/p/5025751681,0,"
            3-17        ",,,,,,
人民保险，服务人民,https://tieba.baidu.com/p/5024881400,1,"
            3-16        ",,,,,,
留学期间应当如何选择保险？,https://tieba.baidu.com/p/5022674221,2,"
            3-15        ",,,,,,
★天安人寿增强版吉祥树2号（又,https://tieba.baidu.com/p/5021120703,0,"
            3-14        ",,,,,,
我觉得这个吧里都是拖  都是卖家,https://tieba.baidu.com/p/4872163950,11,"
            3-14        ",,,,,,
大部分消费者并不是因为自己有确定的需求而去购买保险,https://tieba.baidu.com/p/5021483026,0,"
            3-14        ",,,,,,
个人营销为何成为我国保险销售主流模式,https://tieba.baidu.com/p/5021455286,1,"
            3-14        ",,,,,,
个人营销为何成为我国保险销售主流模式,https://tieba.baidu.com/p/5021454423,0,"
            3-14        ",,,,,,
个人营销为何成为我国保险销售主流模式,https://tieba.baidu.com/p/5021452451,0,"
            3-14        ",,,,,,
我发表了一篇图片贴，大伙来看看吧~,https://tieba.baidu.com/p/5019564194,1,"
            3-13        ",,,,,,
华夏福临门加医保通，看看好不好,https://tieba.baidu.com/p/5019693767,0,"
            3-13        ",,,,,,
个人出境游应当合理配置保险,https://tieba.baidu.com/p/5019607818,2,"
            3-13        ",,,,,,
我发表了一篇图片贴，大伙来看看吧~,https://tieba.baidu.com/p/5017931506,0,"
            3-12        ",,,,,,
健康重疾险科普,https://tieba.baidu.com/p/5017771349,10,"
            3-11        ",,,,,,
2017最强健康防线—华夏常青树2016+医保通 住院看病“不花钱”,https://tieba.baidu.com/p/4897651134,11,"
            3-11        ",,,,,,
在外地短期自驾游应如何做好保障,https://tieba.baidu.com/p/5015233138,2,"
            3-11        ",,,,,,
终身500万！常青树+医保通：健康保障，一步到位，住院看病不花钱,https://tieba.baidu.com/p/4913533010,22,"
            3-10        ",,,,,,
香港保险渠道合作,https://tieba.baidu.com/p/4990030436,1,"
            3-10        ",,,,,,
五一小长假应如何给予自驾游保障,https://tieba.baidu.com/p/5015312447,2,"
            3-10        ",,,,,,
自驾游客应当选择哪些保障,https://tieba.baidu.com/p/5015308416,1,"
            3-10        ",,,,,,
外出自驾旅游应如何做好车辆保障,https://tieba.baidu.com/p/5015236335,1,"
            3-10        ",,,,,,
去西藏感受自驾游应当如何正确投保,https://tieba.baidu.com/p/5015231079,2,"
            3-10        ",,,,,,
购买平安保险就找我,https://tieba.baidu.com/p/5013801466,0,"
            3-9        ",,,,,,
体验新疆自驾游应当如何为自己投保？,https://tieba.baidu.com/p/5013742170,1,"
            3-9        ",,,,,,
去湖南感受自驾游应当如何买保险？,https://tieba.baidu.com/p/5013739764,2,"
            3-9        ",,,,,,
去江苏自驾游应当如何给予保障,https://tieba.baidu.com/p/5013737576,2,"
            3-9        ",,,,,,
我发表了一篇图片贴，大伙来看看吧~,https://tieba.baidu.com/p/5013109568,0,"
            3-8        ",,,,,,
我发表了一篇图片贴，大伙来看看吧~,https://tieba.baidu.com/p/5013109389,0,"
            3-8        ",,,,,,
浙江自驾之旅应当如何买保险,https://tieba.baidu.com/p/5012289123,1,"
            3-8        ",,,,,,
外出体验自驾游应当如何选择旅游险,https://tieba.baidu.com/p/5012286286,2,"
            3-8        ",,,,,,
买重疾险为什么要买华夏的“常青树”,https://tieba.baidu.com/p/5011861166,0,"
            3-7        ",,,,,,
平安智能星寄托父母的爱，用“星”守护孩子一辈子！,https://tieba.baidu.com/p/5008258620,3,"
            3-7        ",,,,,,
香港保险,https://tieba.baidu.com/p/5011103424,0,"
            3-7        ",,,,,,
"终生两次返本，金账户7.2%,60岁返保额30%！",https://tieba.baidu.com/p/5010887918,0,"
            3-7        ",,,,,,
为自己买什么保险比较好？,https://tieba.baidu.com/p/5010770636,1,"
            3-7        ",,,,,,
自驾出游应当如何选择相关旅游险？,https://tieba.baidu.com/p/5010820263,2,"
            3-7        ",,,,,,
海南自驾游应当如何选择保险,https://tieba.baidu.com/p/5010817946,3,"
            3-7        ",,,,,,
选择自驾游保险应当注意哪些条件,https://tieba.baidu.com/p/5010815402,3,"
            3-7        ",,,,,,
此人为保险代理，曾被太平保险公司开除，没有诚信，大家千万当心,https://tieba.baidu.com/p/5010409019,0,"
            3-6        ",,,,,,
上海自驾游应当如何选择保障？,https://tieba.baidu.com/p/5009418333,0,"
            3-6        ",,,,,,
去成都旅行最好投保一份旅游意外险,https://tieba.baidu.com/p/5009415922,2,"
            3-6        ",,,,,,
秋季宝岛旅游前最好选择一份旅游险,https://tieba.baidu.com/p/5009412452,3,"
            3-6        ",,,,,,
香港保險,https://tieba.baidu.com/p/5009057774,0,"
            3-5        ",,,,,,
短途旅游应当如何为自己准备保险？,https://tieba.baidu.com/p/5005232299,2,"
            3-5        ",,,,,,
平安智悦人生,https://tieba.baidu.com/p/5008251233,0,"
            3-5        ",,,,,,
出门春游需要投保怎样的保险？,https://tieba.baidu.com/p/5005230221,2,"
            3-3        ",,,,,,
选择飞机出行该如何保障自身安全？,https://tieba.baidu.com/p/5005228489,2,"
            3-3        ",,,,,,
经常旅行的人需要投保航空意外险,https://tieba.baidu.com/p/5003856942,2,"
            3-2        ",,,,,,
差旅人士应当如何配置交通险？,https://tieba.baidu.com/p/5003854033,1,"
            3-2        ",,,,,,
想买车险,https://tieba.baidu.com/p/5003141979,0,"
            3-1        ",,,,,,
天安人寿吉祥树2016距离退市还有3天的时间,https://tieba.baidu.com/p/4992717251,1,"
            3-1        ",,,,,,
暑期外出旅游应如何投保旅游意外险,https://tieba.baidu.com/p/5002476153,1,"
            3-1        ",,,,,,
投保旅游险并非保额越高越好,https://tieba.baidu.com/p/5002472183,3,"
            3-1        ",,,,,,
怎样挑选合适自己的短期意外险,https://tieba.baidu.com/p/5002469169,2,"
            3-1        ",,,,,,
漫长暑假该如何为孩子挑选保险,https://tieba.baidu.com/p/5002466319,3,"
            3-1        ",,,,,,
自驾游潜在的安全隐患如何规避？,https://tieba.baidu.com/p/5002462440,2,"
            3-1        ",,,,,,
【常青树+医保通：健康保障，一,https://tieba.baidu.com/p/4897100236,24,"
            3-1        ",,,,,,
手写平安福，,https://tieba.baidu.com/p/5001049393,1,"
            2-28        ",,,,,,
在国外旅行应如何搭配旅游救助险？,https://tieba.baidu.com/p/5000931975,2,"
            2-28        ",,,,,,
节假日期间境外旅游应选择哪种保险,https://tieba.baidu.com/p/5000928869,1,"
            2-28        ",,,,,,
红色旅游应当如何选择意外险,https://tieba.baidu.com/p/5000926281,2,"
            2-28        ",,,,,,
出国旅行如何选购境外旅游保险,https://tieba.baidu.com/p/5000923476,1,"
            2-28        ",,,,,,
旅游医疗保险是必须要投保的吗,https://tieba.baidu.com/p/4999503806,2,"
            2-27        ",,,,,,
旅行社责任险不等于旅游意外险,https://tieba.baidu.com/p/4999501164,3,"
            2-27        ",,,,,,
出国投保旅游保险有哪些常识？,https://tieba.baidu.com/p/4999498386,1,"
            2-27        ",,,,,,
泰康乐安康：大公司中最便宜的重疾险,https://tieba.baidu.com/p/4998087264,0,"
            2-26        ",,,,,,
保障155种重大疾病，66岁返本金，合同继续有效！,https://tieba.baidu.com/p/4997911000,0,"
            2-26        ",,,,,,
爸爸是一家三口的投保人，如果爸爸出现轻症，一家三口的保费豁免。,https://tieba.baidu.com/p/4997589544,0,"
            2-25        ",,,,,,
泰康人寿,https://tieba.baidu.com/p/4997063182,1,"
            2-25        ",,,,,,
有深圳的吗,https://tieba.baidu.com/p/4996362748,1,"
            2-25        ",,,,,,
电信王卡优选版，多款主流APP免费流量等你来！,http://www.baidu.com/baidu.php?url=a00000jCx3p_KaPSJEWLOYl1rugGomT22KiQimilOD8cQByBPUna5aVAj0mXvmH1WMYs5lEySWfC1gs4StMLHOkCXVhwLISbM_9IRUe6UJBWAbMotZoAcovy5tSf0Ds9T8kNkfk4DJdMUSePTsJxV5IRN24TkA7Hro-DQnrz8iDvOW7rIvjQwMk9hH61NqdE9KcK4uBjpxPbQ6NuIGUmK1V_jUfA.Db_iT5-x-tJqhOb6vsf8YOFPK-qZML9IGY88xfYmhn-Xi1Fuub_lpthHIk__LNeJS5Zx_e5ZGvImphmCbYyQe8WCCoDkqgHmP2s1f_un-XSVf0.U1Yk0ZDqz5v4SoQxsVHH1_SL0Zfqd_xDLQpC1Oc0pyYqPH030ATq0ZNG5fKspyfqnfKWpyfqn1bs0AdY5HDvPHDd0AFW5HD0pvbqn0K-pyfq0AFG5fKVm1Y0TgKGujYs0Z7Wpyfqn0KzuLw9u1Ys0AqvUjY1nj0snjDVn-t1n1f4nadbX-t1rjRkPzdbX-tYPjf4nzdbX-tYPjbvPzYz0A7B5HKxn0K-ThTqn0KsTjYs0A4vTjYsQW0snj0snj0s0AdYTjY0uAwETjY0ThCqn0K1XWY0IZN15HR3P16krHmknjTYrjbvrjcYPWc0ThNkIjYkPH6znjDknjDLnj0v0ZPGujYsPAc4nW63uymkuhmsPjw-0ZK85Hnv0Aq15Hf0Ugw4TARqnHR0mywYXgK-5HD3PsK9IZKGujYs0APspyfqnH0snfKsUA-b5H0snjD0mv9GujY0mgKsIh3q0Zw9XjY0Ugw15HDvPHDd0AqWTAnqninsc10Wnansc10Wn16WcznkQW0snankQW0snanWc10WnankQW0scznWnansc10Wnansc10Wnan4Pinsc10WnankQW0sc1D8nj0sc1D8nj0sc108nj0sc108nj0sc108nj0sc1D8nj0Wnansc10WnankQW0snansc10WnanWnansc100TZfqP1Tk0ZKETv-Ypyq85H00TAq1pgwGUv4xmv99UhI-gLF-mgPEUWYs0AqzpNqVIjYkPWRkPfKVI7qsIjYs0A7WmLfq0AwWmvfq0AwWTM0q0Aw-IMws5fK1UWY0TZFEujY0UvPsmdq_myFxTLw9IZN15H00UvPsmdqWUA-Wp1Ysc10Wnansc10WnankQW0snankQW0sn0KhIZ-suHYs0A7bTv4xT1Ys0A7bTv4xpgnq0AFVUjYs0Ad9m1Rq0Aq95fK9uAPo5H00UZfqn0K1m1Ys0ZuGuANEpyfq0AF-Tvsqn0KGTvw_5H00UvkbUjYs0ZKzUvI9uZmqn0K9TLbqn0K9uZKL5HDkPj00mywspjYvPj00pgPs5gwW0A91UATqn00k5H00nWY0n1Y0PjY0PHYs0jmqn00L5H00rjYs0jbq0ZKzUvIxIZnqnHDknWTzPH6srHbzrHD3rj6zPW60TZFEudqsT1YknHcsPWb1nj0sn101rjDkPHf4n0KsThqMgLwG5H00TZFEudqspHY0TAPG5H00TvGC5HcdPfKBIgw9u1Ys0A4-IjYs0APzm1Y1PjRsn0,,,,,,,,
买保险就是买保障,https://tieba.baidu.com/p/4996308916,0,"
            2-24        ",,,,,,
农银人寿金穗纳福返还+分红+5%复利,https://tieba.baidu.com/p/4995926551,1,"
            2-24        ",,,,,,
旅游意外险如何针对性进行选择,https://tieba.baidu.com/p/4995212162,2,"
            2-24        ",,,,,,
爸妈年纪大了想给她们买份保险不知道买什么样的,https://tieba.baidu.com/p/4994674193,1,"
            2-24        ",,,,,,
天安人寿福满堂终身两次返还本金，返还多，返还快！,https://tieba.baidu.com/p/4994960829,0,"
            2-24        ",,,,,,
想买保险,https://tieba.baidu.com/p/4966506524,15,"
            2-23        ",,,,,,
出国留学前该如何投保一份保险？,https://tieba.baidu.com/p/4993651664,1,"
            2-23        ",,,,,,
在异国他乡如何给自己带来保险保障,https://tieba.baidu.com/p/4993645599,2,"
            2-23        ",,,,,,
旅行延误该如何获得保险理赔？,https://tieba.baidu.com/p/4993643582,2,"
            2-23        ",,,,,,
主险终身分红型吉祥树2016，性价比之高，空前绝后,https://tieba.baidu.com/p/4986978834,3,"
            2-22        ",,,,,,
去香港投保应当注意哪些问题？,https://tieba.baidu.com/p/4988918553,2,"
            2-22        ",,,,,,
