用户名,博文,预测是否担忧（1=担忧，0=不担忧）,是否担忧（1=担忧，0=不担忧）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
小黄考编日记,明天很早就要去学校早读，第一节第二节课可以看书！我带了一本笔记本，所以1.明天上午两节课把第一节小灶课听完，适当做笔记。（突然担心我耳机不在单位咋办应该在吧5555）下午是满课，就不看书啦。2.下班回来背一个专业简答。3.晚上听半节专业网课，整理笔记，背一下。明天先这样咯，很容易，要完成哦！收起全文d,0,0,1, , ,"
                        2019年12月02日 22:53
                        ",HUAWEI Mate 30 Pro,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=25,https://weibo.com/7345554677/IiXuKBFOH?refer_flag=1001030103_
网红八卦资讯爆料,爆:胡闹吐槽网红办活动随礼都收不回来！二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动，再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧。L网红八卦资讯爆料的微博视频收起全文d,0,0,  ,1,6,"
                        2019年12月02日 22:39
                        ",360安全浏览器,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=25,https://weibo.com/2382909645/IiXpf4D5g?refer_flag=1001030103_
全网主播网红八卦,爆:胡闹吐槽网红办活动随礼都收不回来！二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动，再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧。L全网主播网红八卦的微博视频收起全文d,0,0,  , ,2,"
                        2019年12月02日 22:39
                        ",UC浏览器电脑版,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/5602216050/IiXpbbtuC?refer_flag=1001030103_
冯疯风baby,好不容易回趟家，我爹妈最担心我的猫自己在家咋办​,0,0,  , ,3,"
                        2019年12月02日 21:42
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/5838225060/IiX1P0bjp?refer_flag=1001030103_
快手新闻爆料,胡闹调侃网红办活动随礼多收不回来二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧！L快手新闻爆料的微博视频收起全文d,0,0,  , ,4,"
                        2019年12月02日 21:17
                        ",微博视频,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/2423429500/IiWRGbQoS?refer_flag=1001030103_
栃木少女,咋办我又开始担心新年的xxl的抽卡了忐忑...飞机票又出旧卡把我气死....我好像要小王子宝宝​,0,0,  , , ,"
                        2019年12月02日 19:43
                        ",iPhone,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/6558947434/IiWfCpvj5?refer_flag=1001030103_
纳西高导刘,上午接待了两位新老师，英语老师女，颜值不错，实力更强。化学老师男，五十多岁，眼镜秃顶，一口掉渣的方言，被这帮熊孩子各种嫌弃。直言“我们担心这么大岁数，被我们气个好歹可咋办？”​,0,0,  , , ,"
                        2019年12月02日 19:34
                        ",vivo 全新水滴屏手机,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/5781417330/IiWbO2gum?refer_flag=1001030103_
格是格格的格,数学进了前十语文退步十分英语退步十分加起来二十分，和别人的差别真的不是一点半点了为什么要比，不自主的就比了，大榜成绩在那里摆着呢！老师私发每个家长了，她肯定比我更难过，努力了没有回报，咋办？策略不对，改吧语文一点也不担心，最担心的是英语。语文底子在那放着呢，肯定会上来。英语本来就不好，现在是更不好了。班次没变，校次前进了二十多名，总成绩还是多了几分的能怎么办？拍拍泥土，继续前行吧！收起全文d,0,0,  ,2, ,"
                        2019年12月02日 19:30
                        ",Android,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/3183473962/IiWau8R6M?refer_flag=1001030103_
谱蓝姐聊保险,【#保险小科普#现在买的重疾险未来保额不够用咋办？】近年来，经济通胀加剧，医疗成本也不断上升。这让很多朋友担心，现在买了50万保额的重疾险，以后保额不够用怎么办？今天就给大家一些小建议第一个建议是必须保证当下的充足，我们在【此时此刻】要拥有充足的重疾险保障。面对未来，我们的身体可能逐渐变差、即使有钱加保也未必有保险公司愿意承保的情况，建议大家在【保费预算充足】的前提下，优先选择一些重疾保额可增长的产品。正是由于癌症或重疾治愈率的不断提高，我们才不断地定制一些保费均衡，保额以固定额度逐年增长，甚至还有多次赔付的重疾险。这既可以抵御未来重疾治疗成本上涨的风险，也可以应对重疾治愈后二次甚至多次罹患重疾的风险。但这都是在保费预算合理的前提下所达成的更高维度的充足。重疾保障的充足基础，是指当下保额的充足。我们不要因为过度忧虑未来，而影响了今天执行保障方案的效率新浪保险#新浪保险i保日#收起全文d,0,0,  ,1, ,"
                        2019年12月02日 19:23
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/6539363849/IiW7z0YWO?refer_flag=1001030103_
_好喜欢薯条怎么办_w,沃日，我人都没了啊!!!MATLAB考试可咋办哟！wait，我还是先担心一下作业叭​,0,0,  , , ,"
                        2019年12月02日 19:16
                        ",红米Redmi,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/7043108748/IiW4N33t2?refer_flag=1001030103_
迎风向前啊,全身疼，一点力气都没有，每天最大的期待就是去图书馆能坐他对面了。因为这个我才有学习的动力吧，突然有点担心21号他走了之后我该咋办嘞？​,0,0,  , , ,"
                        2019年12月02日 15:23
                        ",OPPO R9s,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/6377893934/IiUxWpZGr?refer_flag=1001030103_
杠丘丘的人没有心,#艾伦ins#路人只会说粉丝瞎担心激进如果你追星自家姐姐摊上这种两幅面孔的人看你咋办​,0,0,  ,1,14,"
                        2019年12月02日 15:01
                        ",HUAWEI Mate 20,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/5144746210/IiUp8nNhB?refer_flag=1001030103_
快手八卦小哥呀,胡闹调侃网红办活动随礼多收不回来！二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧。#张二嫂#L快手八卦小哥呀的微博视频收起全文d,0,0,  ,11,37,"
                        2019年12月02日 14:52
                        ",张二嫂超话,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/6166656984/IiUlH35OD?refer_flag=1001030103_
豁牙子讲八卦,胡闹调侃网红活动随礼多！二嫂和胡闹直播，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的给我随回来，二嫂帮胡闹喊话白小白注点意，胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子吧！L豁牙子讲八卦的微博视频收起全文d,0,0,  , , ,"
                        2019年12月02日 13:58
                        ",iPhone 7 Plus,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/6543824337/IiTZIdlmc?refer_flag=1001030103_
Nuage_InFun,出租屋里的灯坏了，拍了照片问我爸咋办，爸爸妈妈还有弟弟一直在出主意，我爸教我怎么换，我妈担心我不会，电很危险⚠️让我爸什么时候来顺便给我换（这个法子被我pass了）然后我弟给我买了个临时的节能灯哎呀，感觉灯坏了也没什么的呀​,0,0,  , , ,"
                        2019年12月02日 13:51
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/5616291893/IiTWQmScJ?refer_flag=1001030103_
快手扒皮,胡闹调侃网红活动随礼多！二嫂和胡闹直播，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的给我随回来，二嫂帮胡闹喊话白小白注点意，胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子吧！L快手扒皮的微博视频收起全文d,0,0,1,199,437,"
                        2019年12月02日 13:50
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/5632511315/IiTWrduKp?refer_flag=1001030103_
快手扒哥,【胡闹调侃网红办活动随礼多收不回来】二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧。#张二嫂#L快手扒哥的微博视频收起全文d,0,0,1,18,15,"
                        2019年12月02日 13:38
                        ",张二嫂超话,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/6312685199/IiTRtCOrR?refer_flag=1001030103_
莹哥哥家的小阿Li,呜呜呜呜呜呜呜还没出门就发现从郑州东站买的票买成从郑州火车站开始得了这下咋办开始担心自己了​,0,0,  ,1, ,"
                        2019年12月02日 13:32
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/5330442690/IiTOZFofx?refer_flag=1001030103_
可乐妞的派宝,"宝宝25个月了这个月最大的收获是宝贝想说话的意识突飞猛进，开始跟我们对话，还能一下子说一串，虽然我们还听不懂😁11月6号：要准备复查了，姥爷跟我们是各种理由不想去，我知道经历了这几个月的生病，他是真害怕去医院了，我有同感，可是不复查又不行，老弟今天跟他是说了一堆道理，也就这个时候老弟才没脾气，我们所有的坚持都是一个目的：希望姥爷健健康康🙏🙏🙏🙏🙏今天入手了宝贝的第十辆车，突然觉得应该努力挣钱换个别墅才能装下我儿子不断壮大的车队😃前两天的对话“'你叫什么?'，'妈妈';'那我叫你妈妈你就答应啊'，'嗯';'妈妈'，'哎'”。称呼一会一变，一会说自己叫“舅舅”，一会说自己叫“妈妈”，一会又说自己叫“哎”，今天再问，开始知道自己叫“派”了👏问他车是谁的，你叫什么名字，都会说“派”👏今天去打预防针，我说你叫“阿姨”就给你打轻点，宝贝说“不要”，护士说“那我可一会打的疼啊”，针一扎进去，小腿使劲挣扎，护士说这小家伙劲可真大，快打完了自己哭着叫了声“阿姨”，护士说“都快打完了才叫啊，晚了”😄针拔出来，小家伙不哭了，真棒👍11月8号：全家一起陪姥爷复查，宝贝自己开柜子，没有人告诉他，知道要帮姥爷拿他的病历资料，三天前带姥爷去医院拿过病历，他竟然记住了；姥爷如果在干活，宝贝会主动去拿花镜，这家伙心思还挺细腻😘玩具玩完了宝贝知道放回去，中午跟我收拾数据线，不玩了自己把拿出来的东西又都放回原处，茶几上有吃完的果皮壳，宝贝也会扔到垃圾桶里，这些都是他自己会主动去做的，有时候发现他的心思挺细腻，很不错呦👍11月12号：姥爷这几天开始坚持吃完饭收拾碗筷，让我感到突然是自己竟然还把自行车骑去车棚，体力比之前好太多太多，姥爷身体一定会越来越好🙏🙏🙏🙏🙏宝贝越来越精，阿姨周末来家吃饭，站在阳台就冲楼下大声喊“阿姨”，吃完饭就一直缠着阿姨，舅舅今天下班回来就冲着舅舅不断叫“阿姨”，意思是找阿姨，姥姥说“你妈给你买这么多东西也没见你讨好”，真是让我心酸呀，儿大不由娘，现在就开始有这苗头😭问他几岁了，宝宝竟然自己知道用两只手比划两个1，他知道2是什么意思了，自己还会数“1，2”，问他尿不尿，他会说“尿”或者“不尿”11月15号：总医院复查不了，医生才疏学浅，竟然还反问我做了手术还不知道医学英语是什么意思，我真想怂他一句“你还自称专家呢，你怎么还不知道怎么开检查单子”，看来姥爷再不想去北京也得去，身体重要，复查是必须的🙏🙏🙏🙏🙏宝贝在我的熏陶下，会用“no”表达“不”，之前“不要不要”说的可好了，今天去超市，想要的东西，自己开始会说“要”了👀前两天半夜宝贝说梦话叫舅舅😁，我猜是老惦记坐舅的车，这两天开始强烈黏姥姥，半夜醒了找，早上一睁眼也找，下午睡醒也找，正赶上姥姥出去了，宝贝就冲着楼下大声叫“姥..姥..姥”，晚上睡觉前还得让姥抱着去找姥爷，在姥爷床上疯一会才能睡觉💤11月19号：姥爷现在自己都骑车出去买东西，虽然我还是有点担心他的身体，但是偶尔让他出去一趟，运动一下，也许对他的康复有帮助宝贝有天晚上说梦话叫”舅舅“，然后这两天半夜又开始半睡半醒找”姥爷““姥姥”，我都说“上厕所了，一会就来”，然后小家伙又睡着了😥这几天小家伙也是超级粘姥姥姥爷，吃完饭也必须叫两人都陪他在客厅，晚上睡觉都脱了衣服钻被窝，又非得穿上衣服去找姥爷，天天晚上得折腾这么一下😪我的小宝贝虽然才刚两岁，但是小孩子的成长速度真是让我惊叹，他的思路特别清晰，问他”谁在开车“”谁在坐车。。还有谁。。还有谁”“谁在看电视""""谁在吃饭”“这是谁的东西”""谁上班去了“，都能看他稍微想一下然后很准确地说出来，真棒!在嘟嘟哥哥家车库玩完了玩具，知道帮忙收起来；人家给了他东西，自己知道主动表示谢谢；在外面有车，知道靠边站着不动，车过了再走；大家都夸这小家伙很懂事，这都是平时他在家看到家人怎么做，照学照做；小孩子这个时候的模仿能力真是太强了，而且会有样学样，家人的一举一动对小孩子的影响真的是潜移默化😌11月21号：全家出动陪我去练车，在这个事上姥姥姥爷相当一致，都督促老弟带我去练，要是其他一些事这么支持我就好了宝贝天天心心念着坐舅舅的车，只要出去，就玩疯了我们去练车，姥姥姥爷带宝贝去超市，还没走到，就指姥姥口袋要钱，结果翻遍口袋才找到两块钱，结果进了超市宝贝就指着嘴要买吃的，姥爷问姥姥“两块钱能买啥”，姥姥说“啥也耐买不了”，让他们逗死双十一天天都在收快递，小家伙主动去开抽屉，我问他干什么，竟然自己说“刀”，知道要拿壁纸刀11月24号：姥爷现在特别喜欢喝红薯稀饭，只要快没了，就提醒姥姥买红薯除此之外，也喜欢吃水果了，上午下午都主动切水果，都说能吃是福，姥爷只要想吃。只要健康，就是我们的福气🙏🙏🙏🙏🙏宝贝知道说“尿尿”，出门知道说“戴”，然后指指头和脖子，就是让我们给他戴帽子和围巾。最好笑的是有一天指指醉，意思是喝奶，姥姥问“喝什么”，宝宝竟然说了“奶奶”，姥姥说“真土”，我说“啥土呀，这是台湾腔”11月26号：带宝贝出去买药，看到门口的垃圾说“垃圾”，哈哈。。又说了个新词姥姥在上厕所，派宝敲门，姥：谁呀，派宝：派，姥：找谁呀？派宝：姥，姥：等会啊，派：嗯能对话了，思路清晰晚上拿着耳机玩，姥爷：你拿的什么，派(指着耳朵)：耳机，姥爷：谁的，派：舅舅竟然会说“耳机”了11月29号：今天晚上压抑了很长时间的烦躁彻底爆发了，导火索就是老爸跟弟弟谈彩礼的事情，虽然我心疼他们，可是他们觉总是处处为老弟想，只要给弟弟花钱怎么都舍得，却从来没有想到我真的是有种无依无靠的感觉，没人能指望，养孩子照顾父母只能靠我自己，还得为老弟着想，可你们有谁心疼过我可是我又不能冲你们发火，所以我今晚办了件糊涂事，我的烦躁冲我儿子爆发了，小家伙一下子被吓哭了，老妈说我“神经病”，我只能穿上衣服下楼发泄我自己的情绪，大哭一会，找个朋友聊聊天，然后收拾好心情回家，我知道我改变不了什么，我只能调整我自己，今天我只想默默对宝贝说“我的宝贝，请你原谅，妈妈不该让你承担我的烦躁，对不起”宝贝开始“咿咿呀呀”说一连串听不懂的话，有时自言自语，有时跟我们对话，已经有对话的苗头了。。12月1号：姥爷自己加多了降压药，血压又低了，真是让我头疼，脾气太固执，一点不听我们的，现在只希望姥爷能赶快康复，保佑他健康平安长寿🙏🙏🙏🙏🙏我这大宝是越来越精，门口饭店有婚宴，在大锅饭煮饺子，小家伙看着不走了，我说“一会回来去吃啊”，没想到买完东西回来，指指我的口袋非要我掏兜，然后跟我说“钱”，我给了他两块，自己攥得可紧了，走到办婚宴的那，跟我指指嘴，原来意思是要拿钱去买饺子吃，我滴个娘，把我的话当真了，还惦记着呢，好说歹说哄回家，姥姥给煮了饺子，宝贝啊，以后你可咋整，知道花钱了😓2任丘市收起全文d",0,0,  , ,3,"
                        2019年12月02日 13:28
                        ",OPPO R9s,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/3290157397/IiTNmhTNc?refer_flag=1001030103_
阿瑞第一播报,嫂家胡闹调侃网红办活动随礼多收不回来二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧！L阿瑞第一播报的微博视频收起全文d,0,0,  , , ,"
                        2019年12月02日 12:46
                        ",OPPO智能手机,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/5449729052/IiTwtFfm7?refer_flag=1001030103_
只影哥,嫂家胡闹调侃网红办活动随礼多收不回来二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧！L只影哥的微博视频收起全文d,0,0,1,12,55,"
                        2019年12月02日 12:15
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/2795732601/IiTjI4fL1?refer_flag=1001030103_
快手网红揭秘王,嫂家胡闹调侃网红办活动随礼多收不回来二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧！L快手网红揭秘王的微博视频收起全文d,0,0,2,3,26,"
                        2019年12月02日 12:08
                        ",小猪佩奇iPhone 8 Plus（银色）,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=26,https://weibo.com/6028348254/IiTgO6w3n?refer_flag=1001030103_
道哥八卦,马洪涛胡闹调侃网红办活动随礼多收不回来二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧。L小沂琳丫的微博视频收起全文d,0,0,  ,2,8,"
                        2019年12月02日 11:09
                        ",马洪涛超话,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=27,https://weibo.com/2349717741/IiSSRekYu?refer_flag=1001030103_
明星网红揭秘,胡闹调侃网红办活动随礼多收不回来二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧！O网页链接收起全文d,0,0,  ,1,22,"
                        2019年12月02日 10:36
                        ",iPhone XR,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=27,https://weibo.com/6037405846/IiSFEq3kR?refer_flag=1001030103_
十卦ks·,胡闹调侃网红办活动随礼多收不回来二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧。L十卦ks·的微博视频收起全文d,0,0,  ,30,187,"
                        2019年12月02日 10:27
                        ",,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=27,https://weibo.com/6206529561/IiSBZuLZw?refer_flag=1001030103_
小黑大爆料,胡闹调侃网红办活动随礼多收不回来二嫂和胡闹直播提及网红办活动，胡闹喊话以后你们办活动再拉我进群不随礼了，然后把我给你们随的一炮给我随回来，二嫂帮胡闹喊话白小白注点意胡闹给你随三回礼了，你咋还拉人家进群呢，胡闹还表示担心刘一手不在ks不能回礼了，随礼太多没活动可办，师徒俩开玩笑生孩子太慢，实在不行领养个孩子办场活动吧。LAK小黑黑的微博视频收起全文d,0,0,  ,1,1,"
                        2019年12月02日 10:24
                        ",iPhone 11,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=27,https://weibo.com/7119149864/IiSADgtD1?refer_flag=1001030103_
