用户名,博文,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
英国sweet梨,cnmd又失眠了，身体疲惫意识却睡不着，这么下去我会不会得病啊​,会不会得病,1,自己,健康,健康保险,失眠,  , ,1,"
                        2019年09月12日 01:52
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=42,https://weibo.com/6604566557/I6vCLbgfw?refer_flag=1001030103_
妖精琳lin,每天中午睡觉都直吹空调，会不会得病呀，好怕​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年09月11日 14:08
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=43,https://weibo.com/2343280697/I6r0Nny78?refer_flag=1001030103_
微笑75-201609,借口中秋节去看了宫颈癌的同事。躺在家里的沙发上，脸色煞白，说四个月没有出门了。在吃中药，胶囊装着的一些粉末状的，一罐子2000多块，吃下去后肚子巨疼，一天要拉十几次，晚上也要拉十几次，拉出来的有血块，医生说是在排毒。我听了真是傻了，怎么能吃啊。唉，劝她别吃了，回复说停了两天没吃了，人舒服一点了。我说你拉血块很大可能是药物刺激胃肠会不会造成胃肠出血了啊。暑假里都是刚上初中的儿子照顾她，儿子开学了乡下的母亲来照顾她，才一个多星期她母亲竟然在我们面前说农村里家里事情多，老头子不会做饭天天吃酱，儿子去年做生意亏了很多要去帮忙什么的一大堆。打心里为同事感到难过。看到她眼里时不时流出来的眼泪感觉好心酸。说到肿瘤指标升高，B超出来输卵管又发现肿瘤，导尿管已经不可能拿掉，医生建议再次手术她已经拒绝了。不知道怎么安慰，感觉说什么都没用。她自己反倒安慰我们说比她年轻的得病的人多了去了，无所谓了。还是要尽全力给自己准备充足的钱，钱，钱。这个太重要了。一定要在自己还有能力的时候安排好一些事情。收起全文d,会不会得病,1,,,,,  ,3,2,"
                        2019年09月10日 20:26
                        ",HUAWEI Mate 20 X 5G,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=43,https://weibo.com/6035897625/I6k3Xuz3y?refer_flag=1001030103_
傻混沌娘子,王力平，我最近在看电视剧《小欢喜》，总是哭的稀里哗啦～你说，我会不会真的有心理或者精神类的病，我会不会压力太大得病了……我好害怕，我很多年前就害怕这个了。2上海·控江地区​,会不会得病,1,自己,健康,健康保险,担忧,  ,1, ,"
                        2019年09月08日 23:36
                        ",HUAWEI P30 Pro,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=43,https://weibo.com/2792973242/I62sb5mrw?refer_flag=1001030103_
只睡一小会儿,会不会最开始是管理员的阴谋？知道自己得病了命不久矣然后心里不平衡要拉别个下水，想让大家一起玩完？所以故意坚持玩这个游戏，然后自杀？？最后让大家相互猜忌互相谋杀。。。？​,会不会得病,0,,,,,  ,1, ,"
                        2019年09月08日 22:19
                        ",nova4自拍极点全面屏,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=43,https://weibo.com/5856531323/I61WG9LGC?refer_flag=1001030103_
挚爱热巴DLRBDLMLT,这是我女儿万佳新，她得病了，离开了我，我现在非常非常的想他。也不知道她在另一世界会不会想爸爸妈妈。过得怎么样！一个人一定要坚强，你一直是老师学生中的佼佼者，也是爸爸妈妈一生的骄傲。你在那边一定还要做一个懂事坚强的孩子，一定要记住妈妈的话​,会不会得病,0,,,,,  ,1,1,"
                        2019年09月07日 12:14
                        ",OPPO Reno,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=44,https://weibo.com/6384339501/I5OyK4Eg7?refer_flag=1001030103_
十根不开心的腿毛,感觉自己有焦虑症，抑郁症，被害妄想症，玩游戏时候脑子放空很轻松，到了晚上睡觉一闭上眼总想着自己会不会出什么意外，活的小心翼翼，看见网上什么报道都会联想到自己身上，会不会发生在我身上，如果发生了我该怎么做，连骑电动车都怕被人一开车门撞到在地，被后面的车轧死…是精神压力太大了吗，我为什么总想着自己会出意外死去，或者得病死，不敢身体检查，怕真的有病治不起，相比起意外死我宁愿是生病死，好歹还有个准备时间阿，写写遗书啥的…如果得病我会有什么病，癌症？乳腺癌？诶？怎么又想了这么多了…以上是每晚进入睡眠前脑子总会有的想法…收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  ,1,1,"
                        2019年09月05日 00:43
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=44,https://weibo.com/5546342711/I5rbo4Cs9?refer_flag=1001030103_
萝卜种子就是萝卜,大家应该都不会取关之前的类似的这种公众号吧唉昨天报完道本来以为换到了一个三人间还是加上一个师兄的那种这样他毕业之后就能变成两人间了吧结果今天最后一个大哥也过来入住了宿舍里的大家都是大佬学习压力可想而知我从小吧虽然不咋喜欢跟人比家里人也没有太压迫我去比来比去但是有的时​,会不会得病,0,,,,,1, , ,"
                        2019年09月04日 19:30
                        ",Samsung Galaxy S8,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=44,https://weibo.com/5271215676/I5p83DFnO?refer_flag=1001030103_
开心的李天涯,人生处处是成长啊，尤其是自身的变化“应激性心肌病”又叫心碎综合征今天从医生那里新学的名词，得病的原因：儿茶酚酞和精神压力怪不得这段时间时不时的痛到忍不住不自觉的捂着胸口，莫名一种突如其来的心碎感，就像是心脏被电击了，要炸了我问医生会不会死翘翘啊，他说会痛的抽搐过去心脏没有出现器质性病变，不要再胡思乱想，乱给自己添加戏码，等心里的创伤和裂痕抚平后，你就还是一个正常人。说白了，就是得了精神情绪不受控制病。所以呢，心要大，内心要坚强，遇事不要伤心，不要难过，抬起头，看着明天的朝阳开始新的生活就好，你只是在旅途中遇到了一个错的人，走了一段错的路而已，重新找到对的路，继续寻找新的风景，就好。错的人才会让你心痛，遇到正确的人只会让你快乐和开心！缘来缘去终汇散，花开花落总归尘。收起全文d,会不会得病,0,,,,,  , ,2,"
                        2019年09月04日 15:07
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=44,https://weibo.com/1969452495/I5nptxExz?refer_flag=1001030103_
阿阳睡不着唔,心情有时候可能是真的糟糕有些事情无处宣泄你就会把脾气撒到家长身上撒完脾气自己有后悔真的很难昨天看完《滚蛋吧肿瘤君》就在想我如果得病要死了身边会不会有像老郑她们一样的朋友我猜应该没有吧​,会不会得病,0,,,,,  , ,2,"
                        2019年09月04日 12:41
                        ",iPhone 7 Plus,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=45,https://weibo.com/6133785115/I5ms4yKbv?refer_flag=1001030103_
喝百事可爱,自言自语久了会不会得病在微博蹦迪可真舒服…太容易心焦脾气不好这样一点都不讨自己喜欢​,会不会得病,0,,,,,  , , ,"
                        2019年09月01日 23:50
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=45,https://weibo.com/6415226217/I4Yydjveo?refer_flag=1001030103_
吃啥都会饿大王,我问室友我身上的紫色点是不是紫癜，今天吃了两包方便面会不会得病。一开始说：为啥会得病，你告诉我谁说吃方便面会得病后来开始集体讽刺室友一：我今天吃两包小鱼仔会不会辣死没见过紫癜的室友二说：紫癜就是这样，你这个就是紫癜。​​​哈哈哈哈哈​,会不会得病,0,,,,,  , ,1,"
                        2019年09月01日 22:24
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=45,https://weibo.com/3849740547/I4XZidhlb?refer_flag=1001030103_
用户6487469474,绒毛浆的卫生巾太可怕了撕开你家的看看有绒毛浆吗？这就是卵巢囊肿，子宫肌瘤的根源，亲们的不能用一辈子的健康去验证会不会得病❗❗​,会不会得病,0,,,,,  , , ,"
                        2019年08月31日 09:48
                        ",更好用的全面屏魅蓝S6,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=45,https://weibo.com/6487469474/I4JC0f4Y4?refer_flag=1001030103_
freature_,"发现了周围抑郁症朋友或者说网上认识的抑郁症博主都有一个共同点，就是变得很""深情？""，怎么说呢，和平常人比(或者跟未得病之前的自己比)和信任的人交流变得很温柔很温柔，仿佛人和人之间的真实感情是世界上最重要的事。我猜想如果按照""一个人想得到什么首先会选择付出什么""这个逻辑为前提，那么患抑郁症的人会不会最需要最真挚的情感依赖，他们感觉到孤立无援，无法调整好自己去做事情。但是如果反过来猜，看中真实和感情的人会不会见识过太多人性中的自私而变得越来越抑郁？或者说两者都有？。收起全文d",会不会得病,0,,,,,  , ,1,"
                        2019年08月31日 00:33
                        ",微博 HTML5 版,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=46,https://weibo.com/6081256647/I4FYyyITs?refer_flag=1001030103_
墙角的通讯录,微信里看到朋友孩子得病发轻松筹，他家里也算是有钱人，一直开的宝马5系，听说马上换大奔了，我也款了一些钱。不过心里一直有疑问，会不会有人，看病只花了自己一些钱，大头的钱都靠网上捐钱？如果这样的话，太寒心了。2杭州​,会不会得病,0,,,,,  ,1,1,"
                        2019年08月30日 23:56
                        ",Android客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=46,https://weibo.com/6573462837/I4FJv8BqH?refer_flag=1001030103_
我不是一个很酷滴人,#至味在人间#想念小时候的粿汁。那时村里三亩市场还没有拆迁，西边那一间很大的沥青棚屋，专门做早餐，有油条，豆浆，还有粿汁。油条香酥且带面的本味，豆浆香浓甜口，最绝的是粿汁，米磨成粉末兑水，浇在热锅锅沿，搅进锅里成糊糊，上桌前浇上卤汁和香菜，真正地入口即化，加上卤汁的卤香和香菜，美！那时老板娘白化病，小时候还有点怕，总感觉她身上深色的皮肤会掉到粿汁里，吃了之后会不会也得病，但看到别人也都在吃，说实在的真好吃，渐渐也就不管了，唉╯﹏╰，三亩市场成四亩市场，人非物非。我是潮汕人，假如你想听一些美食故事，我可以给你如数家珍地说道一番，太多美食记忆了，鸭肉粿条，牛肉面，粿，糖葱，卤味，炸“豆腐”，粽子，牛肉火锅，厚尼粥，海鲜粥，腌菜……收起全文d,会不会得病,0,,,,,  , ,2,"
                        2019年08月29日 23:25
                        ",荣耀9 美得有声有色,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=46,https://weibo.com/3517544463/I4w6KyeVE?refer_flag=1001030103_
Liber蒜,#都挺好#这个电视剧，完美的诠释了阿尔兹海默症的病情变化，人会经历从小长大变得越来越聪明得过程，这个病就是反着来，脑退化脑萎缩，从得病起越来越忘事，先是身边的事，然后十年前的事，然后二十年前的事，后面可能只记得最久远的了，后面老人也慢慢像个小孩子一样任性，需要哄着，容易迷路。。。电视剧还有两个细节特别好，就是苏大强去妻子坟前聊天那里，夕阳很好，风也刮起来了，树林沙沙作响。。。还有一个就是苏大强假装睡觉，不理他儿子，他的手拿着被子一直抖啊抖，生动的诠释了老年人帕金森静止性震颤。。。最后那两集，我简直以泪洗面，然后在想去非洲会不会得疟疾。。。我要去吃饭了，好饿。。。吃过桥米线吧。。。2衡阳收起全文d,会不会得病,0,,,,,  ,1,2,"
                        2019年08月29日 19:49
                        ",荣耀V20 4800万3D相机,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=46,https://weibo.com/3840784477/I4uGW6YU9?refer_flag=1001030103_
嗝屁886,每天告诫自己不要沉浸在坏情绪中就算有我也要去找些有趣的让自己开心乐观的所以我追星。追星能让我快乐短暂的也好人生有太多不顺心不开心的事了你难过不过来的今天去体检了本来一直是不敢去的知道自己的生活方式工作性质身体一定不会好的报告还没出来医生就给我打了警钟哎感觉自己会不会也要一级孤独症一个人去看病了！刚刚又接了一个电话劈头盖脸的骂我我什么都没说就开始骂我说我让她有心脏病我真是无语每天接着这样的电话生着闷气过着这种生活我的性格属于不熟的人我是不会跟她说任何抱怨的话的日积月累肯定会得病啊。该怎么办很迷茫…收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年08月29日 18:59
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=46,https://weibo.com/6314294513/I4umvD3yn?refer_flag=1001030103_
SDUIVF许超医生,最近又有一些人私信我，被别人口了会不会得病，建议大家可以看看这篇文章，几千字，写的比较全了，应该可以解答你的疑惑�#健康科普一夏#O吃“棒棒糖”、舔“酸奶瓶盖”，关于口交你想知道的知识都在这了……​,会不会得病,0,,,,,9,31,88,"
                        2019年08月28日 10:35
                        ",iPhone 7 Plus,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=46,https://weibo.com/5979495016/I4hDs0boz?refer_flag=1001030103_
笑笑7896662013,从发现得病到现在已经四个月了，这四个月走来自己感觉好累。特别是到复查的时候不知道病情会不会好点还是坏点？心里的忐忑别人是理解不到的。​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年08月28日 06:25
                        ",疾速双摄 魅蓝 Note6,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=46,https://weibo.com/7293140151/I4g08pysl?refer_flag=1001030103_
丷二花__Y丶,#苹果三星因致癌风险遭起诉#不用手机刷微博会不会比得病更难受2太原​,会不会得病,0,,,,,  , ,1,"
                        2019年08月26日 20:59
                        ",iPhone X,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=46,https://weibo.com/3477348557/I42RSdqPD?refer_flag=1001030103_
用户7279590474,生活，怎么如此厌世，对身边的所有事物，提不起兴趣，我做不好，没能力做好任何事情了感到无力，烦躁是不是得病了？是抑郁症，还是精神收到了严重刺激，后遗症？总之，一定是，不太正常，现在的状态会不会，哪一天，被他害死​,会不会得病,1,自己,健康,健康保险,抑郁,  , , ,"
                        2019年08月26日 12:09
                        ",HUAWEI P30,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=47,https://weibo.com/7279590474/I3Zow5QZ8?refer_flag=1001030103_
QXT_曲曲曲,好烦躁，我以后会不会得病2上海​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年08月25日 20:36
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=47,https://weibo.com/6613481980/I3Ti4eb9W?refer_flag=1001030103_
宝贝的瑞儿,有时候想着我自己会不会抑郁？会不会得病了，厌烦所有的东西事物只想自己安安静静的,会不会得病,1,自己,健康,健康保险,担忧,  , , ,2019年08月25日 17:58,iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=47,https://weibo.com/5858103609/I3SfM3kxl?refer_flag=1001030103_
燕窝暖暖小窝,经常有人问我燕窝这么滋补，吃多会不会胖？今天来科普下�燕窝脂肪含量几乎为零，跟大鱼大肉不同，多吃有益，既滋补又不长胖准妈妈定期食用燕窝，不仅能增强自身的免疫能力，不易得病，而且能为胎儿快速提供营养补给，充分起到安胎、养胎的作用。同时还能还能减弱妊娠反映，睡得更安稳姑娘们，想瘦，不想长胖，想皮肤好，状态好，燕窝要记得吃起来哦�收起全文d,会不会得病,0,,,,,  , , ,"
                        2019年08月25日 11:33
                        ",HUAWEI Mate 9 Pro,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=47,https://weibo.com/5056728438/I3PJB6JoS?refer_flag=1001030103_
你听说过东方树叶嘛,我好害怕啊！我大前天去做指甲然后去死皮时候给我整出血了，会不会得病啊啊啊啊啊啊！！今天还发烧了，虽然可能是我吓的。我百度一圈都说不会得病，但我还是好害怕啊啊啊啊啊！土拨鼠尖叫​,会不会得病,1,自己,健康,健康保险,担忧,  ,4, ,"
                        2019年08月24日 23:31
                        ",微博 HTML5 版,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=47,https://weibo.com/6104216337/I3L0CC1cz?refer_flag=1001030103_
晚晚总是晚,大半夜忽然想起来我前天夜里被猫咬了，出了血，清理完伤口之后，就一直担心会不会得狂犬病，查了资料说24小时内打针就可以，就想着第二天白天再说吧，然而我昨天一天都没想起来这件事。家里的猫所有疫苗都打过了，从来没有和野猫接触过，网上说这种情况几乎不可能得病。但是我就想不明白她为啥忽然咬我，如果她是狂犬病发作咬我呢，我会不会就这样没命了上一次不小心被刀切着手，也是大半夜查破伤风症状查的我全身发抖，第二天天一亮就跑到医院打针了。我要是因为这个挂了，可太对不起爹娘了。我现在觉得被咬的地方又痒又难受。网上说有个十天观察法，如果十天内猫没死，就没事。那猫要是死了呢话说我那么惜命，为什么天天熬夜不睡觉，简直矛盾。我的猫，请你一定好好活着阿我快开学了给个机会学习吧。我还没回馈社会，没报答爸妈呢收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  ,8, ,"
                        2019年08月24日 04:20
                        ",Android客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=47,https://weibo.com/7289024111/I3Dtbm9Bb?refer_flag=1001030103_
喵呜Eve,如果每天都这么不开心，这么憋闷，这么难受，不知道会不会得病啊。好害怕！！​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年08月23日 13:13
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=48,https://weibo.com/2163273197/I3xxh9JqP?refer_flag=1001030103_
妹大希锅锅,我真的好焦虑有具体工作内容焦虑做不好没具体工作又担心老板觉得我没做事我真的不适合上班每天脑子里都是绷着一根弦不头疼才怪会不会得病​,会不会得病,1,自己,健康,健康保险,工作,  ,2, ,"
                        2019年08月22日 15:27
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=48,https://weibo.com/5525299282/I3oYYjqpY?refer_flag=1001030103_
RE-START617,我害怕心痛会不会死人长期这样会不会得病了我难受我也不想的它自己要这么痛呼气就好痛​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年08月22日 06:08
                        ",HUAWEI Mate 10,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=48,https://weibo.com/6566927395/I3lk3jus0?refer_flag=1001030103_
cola200403,经常在想，情绪总是这么不好的话，久了会不会得病……​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年08月21日 15:29
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=48,https://weibo.com/7210240563/I3fzs4mAe?refer_flag=1001030103_
lan习惯已淡忘,19.8.20..3:54想睡会儿觉，却睡不下，闭上眼睛眼前浮现乱七八糟的，害怕�了，怎么办，没事呆着也是有事忙着也是…………想想真害怕，害怕这些事会不会真要发生，心脏突突的狠…………吃不下饭睡不下觉会不会得病……2通辽​,会不会得病,1,自己,健康,健康保险,担忧,  ,7,1,"
                        2019年08月20日 15:59
                        ",荣耀畅玩8C,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=48,https://weibo.com/6465720455/I36lae290?refer_flag=1001030103_
#NAME?,今日左上臂及手指关节处出现神经麻痹和酸痛甚至轻微不可控制的状况，好吓人我好害怕。。。我会不会得病了。。。​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年08月17日 23:46
                        ",小米8周年旗舰手机,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=49,https://weibo.com/6027214175/I2H71kf0l?refer_flag=1001030103_
