博文,发文时间,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4
"寿险、年金险之逻辑与功用

寿险，是用来防备“死的太早”；而年金险，是用来防备“活的太久”的。

这两个产品的设计逻辑，是为什么人设计的，可以说一说。

首先，寿险是人身保险类别里面最重要的一个险种，是以身故为给付条件的。

也就是说，活着的时候存钱，“死了才赔”。许多不太了解保险的朋友，会觉得，这个保险有个屁用，我活着的时候钱都不够花，还管死后？死后赔我的钱，我已经花不着了，要它何用？（你可以不往下看了）

在这里我想先点支烟，冲你意味深长的笑一笑，然后再继续往下说。

假设一个创业者A男士，35岁，拥有蒸蒸日上的事业，这些年生意做的还可以，每年年收入大概有50万，此时，老婆辞职做全职太太，已经育有2个孩子，还有二十几年的房贷，还有4个老人每年要给一点钱，好在先生收入还可以，都能包住。

这样的家庭，真是太美满了。但是，作为具有成熟心智的人，深深知道，风险和明天不知哪一个先来临，万一哪一天，自己嘎嘣了，这个家也就垮了，也许房子会被银行收走。甚至还有一些生意上的欠款，债主会向孤儿寡母追要。

保险这种科学的制度设计，很好的解决了这个问题。

那就是，将风险转嫁给保险公司，假设A每年可以为这个家庭赚回来50万，还想干20年，也就是未来这个家应该有1000万的收入，那么A会给自己买一份1000万保额的寿险，用来锁定未来20年的收入，一旦出现意外，保险来赔付1000万，这个家，不至于会因为经济顶梁柱的失去，而轰然倒下。（因为家庭经济顶梁柱的突然离世，全家老小陷入困境的例子，太多了）

而投保1000万的寿险保额，却不需要掏出来1000万的，以A为例，每年交保费17万多，平均每月15000不到，交到60岁就可以了。我想，作为企业主，少打几场高尔夫，开掉公司里某个不称职的员工，这钱也就出来了。

25年总共交保费443万多，利用保险的杠杆，锁定1000万的预期收入，所以说，寿险，是防备“死的太早”。

而且，保险的避债避税功能，大家也应略知。家人得到的保险赔偿，是不能用于偿债的，同时是无税的，这么大笔无税资产进行转移，你告诉我，还有更好的方式吗？（有钱人，应该尽量将应税资产，转化成无税资产，以后专门撰文阐述）。

A60多岁退休时，如果A身体杠杠的，这份保单锁定未来收入的功能不再，他可以选择退保，把钱一次取出来，也可以转为年金险，逐年领取，作为养老金。

当然了，也可以留给后代，毕竟，死亡是一件100%概率的事情，记住，这笔钱无税且不是遗产（遗产问题比较复杂了），不存在任何法律争议的，是可以指定给你想给的那个人的。（可以指定多名受益人，和受益比例）

再说年金险，是防备“活的太久”。

B老太太55岁，和老伴退休时，共攒了200万用于养老，总觉得应该够了。以老两口一个月1万的生活水准（一点不算高），一年12万，76岁时养老金就告罄。

别跟我说你可以依靠社保养老，那个时候，社保基金还剩多少钱，我是不知道的，今年初，财政部已将持有的中国人保10%股份和中国太平10%股份划转到社保基金，自己想一下。

北京地区平均寿命（今年披露数据）女性是83岁左右，且每3年递增1岁，也就是20年后，平均寿命达90岁，请问，76岁养老金就花完了，剩下的十几年养老钱，从哪里出？要是活到96岁呢，多活了20年，钱从哪里出？

指望子女吗？手心向上？还是说，把养老金做理财，做股票投资，赚钱养自己吗？或者存款吃息？别忘了“负利率”这个事，能吃多久？

最关键是，您已经垂垂老矣，不应该操那个心了。

那个时候，您要做的，是颐养天年，含饴弄孙。

请记住，养老金是“刚需中的刚需”，一分钱也不能少，一分钱也不能挪用，必须准时，确定数目的领取，必须跟你的生命等长！

恰好年金险解决了这个问题，因为活多久，就领多久。

以B为例，55岁退休时，即将200万买一份年金险（其实应该在45岁时就安排，分10年交，每年20万，比较合理，因为费率低，复利效果大），60岁开始领钱，76岁时，基本已将已交保费领回了，这时候B老太太仍旧很健朗，活到了86岁，就共领回了347万，96岁，就领回了512万，105岁领回675万。是不是很好？

我希望每一个老太太，都活到105岁。有没有一种再活500年的冲动？

最最重要的是，年金险，必须跟生命等长。再说一遍，必须跟生命等长！

所以，年金险，是防备“活的太久”。

保险的产品，五花八门，各有设计初衷和理念，以适应不同人群的需求。

所以买保险之前，一定要想清楚，你的需求是什么？是规划好晚年，还是要传承后代，还是要资产腾挪，避债避税？我相信，市面上的产品，总有一款能满足你。

感谢阅读。

欢迎至“我的相册”扫码关注微信公众号。

联系作者至“我的相册”添加老袁个人微信号。 收起全文d",01月13日 17:52,我是不是应该买保险,0,,,,
"#保险#什么的标体与非标体投保（上） 本来不想这么快写到这个内容的，实在是身边越来越多的人是非标体来投保了，然后各种非标体投保的问题层出不穷。所以今天就先说说什么是非标体投保。大家听到了一个词，“非标体”那对应的就是“标体”，那什么是“标体”什么是“非标体”呢？标准体，简称“标体”：在人身保险的核保中,标准体是健康体人群的总称;可以按照标准保险费率承保,也称无条件承保。其实标准体再往上还有优选体、超优体，这里就先不讨论了。非标准体，简称“非标体”：就是有条件的承保或者拒保等等。所以，非标体是相对于标准体而言的，不过一年四季，谁还没有个头疼脑热、毛囊炎、青春痘。或者一不小心崴脚、骨折等外伤，那么身体出现什么程度的问题，才叫非标体呢？见图2.3很简单，上述9条健康告知里，只要任何一项中的任何一条，你的选择为“是”，那么很不幸的恭喜你，你就成为了保险公司眼中的非标体客户。那投保人应该做些什么呢？1、准备最近一次的体检报告及相关病症的详细资料2、尽早投保，因为你不知道病症明天会变成什么样。这个时候有些人会说那我已经被保险公司列为非标体，是不是就和保险说再见了。当然不是！虽然精算师在设计产品的时候为了好核算成本，只考虑标准体，但是大部分的非标体也只是存在小问题，实际的风险和标准体的风险无差别或者风险可控，当然了也有部分的确无法承保。所以，保险公司还有一个“门神”，那就是核保员，他们的工作就是：核保！这个时候，可能有些买过各类保险的客户就想了，我之前住过院、做过手术或者体检有些大大小小的问题，在咨询当时保险业务员的时候，担心身体这些问题会导致以后无法理赔，并将自己的情况告知了业务员，这时候，业务员夜观天象、掐指一算：“我回头和内部人员确认下，应该没啥大事，都是小问题，放心吧，不用告知，一定能赔！”那像这种情况，未来到底能不能赔？糯米君这里只能说 “呵呵”了本来买保险就是想买个安心，将未来的不确定性、潜在性的风险转化为确定性的保障，但这样无视健康告知，绕过保险公司的“门神”，不遵守游戏规则，未来理赔的时候，保险公司自然也不会让你安心了。这也是为什么现在部分人说保险都是骗人的！买的时候什么事情都没有，什么都没问题，结果理赔的时候这个不赔，那个不赔的原因所在了，当然了这样和保险销售人员的职业操守、专业度有关。  O绿洲 收起全文d",01月13日 14:07,我是不是应该买保险,0,,,,
#家庭理财规划# 【家庭保险应该如何配置】（二）在本文开始前，请先看一下前面的两篇文章，确保自己已经存够了3-6个月的日常生活开支。然后，才能谈得上保险的选择。第一篇：O网页链接第二篇：O网页链接第三篇：O网页链接这一篇我们主要说一个其实本来不重要但特别容易进入误区的方向：保险公司如何选择。答案就是：不需要选择。只需要记住，买保险买的是产品匹配程度，而不是保险公司，就可以了。估计这个结论很多人会疑惑，比如，小公司过10年20年会不会倒闭了？小公司赔得起吗？大公司不是应该更靠谱吗？如果你有以上的疑惑，请看下文。在了解【小保险公司会不会赔不起】这个问题的时候，我们需要先了解一下国家对保险公司赔不起了采取了什么样的风控措施。保监会曾经也很担心过，如果有一天保险公司赔不起了怎么办，这个问题其实非常严重，所以，2002年，保监会发了一个文件【再保险公司设立规定】，同时在【保险法】里明确要求：【保险公司对每一危险单位，即对一次保险事故可能造成的最大损失范围所承担的责任，不得超过其实有资本金加公积金总和的10％；超过部分应当办理再保险。】所以，其实不论什么保险公司，当它的保单需要承受的最大损失范围责任，超过了实有资本加公积金总和的10%的时候，他就必须办理再保险。再保险公司，就是保险公司背后的保险。某种意义上而言，当保险公司的理赔能力不足的时候，他背后的再保险公司会补足这部分资金。我们可以粗暴的理解为：保险公司按零售价把保险卖给了客户，然后再用批发价去再保险公司批量进货。由于我国对再保险公司有严格的规定，并不是随便谁都可以弄个再保险公司，而且再保险公司的数量有限，所以市面上或许大家所见到的两个完全不相关的保险公司，他背后的再保险公司是同一家。所以就终极的兜底意义而言，这两家保险公司都是同一家再保险公司来兜底的，他们的兜底能力可以算基本一样。（ps：保险公司的能力，按理来说主要需要比较他们的偿付能力，但一般人估计也没法去比较，而且，只要偿付能力充足就可以了，不需要追求特别高，大公司的偿付能力是不是一定比小公司高？不一定。因为特别高的保险公司，有可能是因为他的规模不够所以爆出的理赔不多而已。所以这个数据，普通人就不需要特别比较要求最好了。）那么，大保险公司为什么会贵呢？贵是主要贵在品牌溢价上。所以我的观点是：同一个产品，选性价比高的保险公司的，选便宜的。同样的性价比，或者同样的价格的，选大公司的。我们买保险，考虑产品和价格优先，公司完全可以排后。这是买保险之前需要注意的一个误区。@写书哥 @牛魔王啊 收起全文d,01月13日 11:30,我是不是应该买保险,0,,,,
"90后都知道买保险是一件必要的事，知道归知道，但保险的门道多得不行。

只知道一款产品不错，但具体好在哪里，能保什么，是不是适合自己，都不了解。
就有了这个问题：我们90后步入社会如何配置自己的第一份保险？

保险作用不是规避风险，而是减轻风险带来的伤害，初触保险可能不了解。

因此我们首先需要找出自己所面临的风险。

适合90后的三种保险：

根据面临的风险来看，年轻人需要购买的保险主要是重疾险、意外险、医疗险。

意外险：一般来说都是一年一买，价格便宜，性价比高，一顿饭钱，就能给自己买一份。

对于一个成年男性来说，生活与工作压力大，应该偏向意外保额，可以优先考虑保额较高的产品。

百万医疗险：对看病花费进行补偿。

医疗险的配置，主要看三点：

1.续保条件
2.免赔额
3.增值服务

重疾险：给付型保险，只要疾病达到合同约定的条件，保险公司就会一次性给付保额，拿到理赔款项。

它的作用，主要是对罹患重疾和治疗期间的收入损失进行补偿。

患重疾后，从接受治疗到恢复正常工作生活，需要几年的时间，在这期间无法赚钱，将导致个人的经济陷入困境。

重疾险的高额保险金，可以在这期间弥补患病时的经济空缺，保证维持基本的生活水平，不至于因病致贫。

在配置的时候，需要考虑保额是否能覆盖一场大病所产生的各种费用，以及疾病治疗过程中的各类生活费用、康复后的疗养费用。

定期寿险：杠杆很高，但只有身故或者全残时才会赔付，对于一般人来说，定期寿险更划算。

挑选定期寿险其实简单粗暴，只需要考虑四点：

1.健康告知是否足够宽松；
2.免责条款是否足够少；
3.保额是否够高；
4.保费是否够便宜。

那应该如何配置呢？

意外险选择亚太超人，意外身故/伤残的保额，最高可以达到100万，另外，还有30万猝死保障，以及3万意外医疗保额。

无论是意外身故/伤残、意外医疗，还是猝死保障，亚太超人都有覆盖。

百万医疗选择的是平安e生保（保证续保版），主要看重的是6年保证续保期。

重疾险选择了最近性价比超高的达尔文超越者，并且附加了恶性肿瘤二次赔付责任。

轻症、中症、重疾、癌症二次赔付的保障都较为全面。

定期寿险，由于暂时没有负债压力，可以考虑配置较低保额的定寿，所以选择了50万保额的大麦定寿，一年保费只需几百，并不贵。

以上就是猪保保今天的科普啦，希望能够帮助到大家。#保险# 保险 #保险知识# #新浪保险i保日# O适合90后买的保险有哪些？ 收起全文d",01月12日 10:34,我是不是应该买保险,0,,,,
前提，只是个人分析，各位大神发现有不对的地方可以给我留言，小弟会继续向各位大神学习。（目前不谈政策只谈保险）抖音这个东西出现以后，手机里一直都有，但一直没怎么打开过。我19年才开始看看短视频。我本身是个保险经纪，想在抖音里面也看一下有没有保险方面的内容，搜索了一下倒是找到不少，看了一些后感觉很无奈。其实不光是抖音上（快手上我也看到过，其他app我没下载）他们说的保险知识我自己也想了想，就健康险为例，发表一下个人见解；第一、难道只说保险不用看需求吗？第二、难道健康险只看保费和保额的高低，不用关注病种以及针对某些疾病的理赔条件宽松不宽松吗？第三、难道意外险各家公司就没有差别吗？第三、难道健康险就不能用性价比三个字来衡量吗？第四、难道随便一个公司的险种就能满足所有人的需求？简单的说一说以上几个问题：第一、不管从哪方面来说保险现在都是老百姓的必需品，不管穷富都该有相对应的保险（穷有穷的买法，富有富的买法）。我感觉首先得了解被保人的基本情况吧，比如工作环境、家族病史（如果被保险人是孩子应该考虑父母双方的家族病史）、收入支出等等这些不该考虑吗？工作环境及性质决定了被保险人到底该选择什么险种（无非也就是疾病和意外哪个几率更高的问题），家族病史决定了重疾险应该主要关注哪方面疾病（因为有些公司针对某些疾病理赔真的比很多公司要宽松的多），买多少保额、保费预算是多少，是受收入支出的影响，而且我认为是对被保险人起了决定性作用的。第二、在健康保险计划搭配上，一般都是重疾+一万医疗+百万医疗（如果百万医疗是相对免赔的话，根据情况可以放弃一万医疗，我个人都是+一万医疗的，因为有不确定因素，谁都控制不了，小病小灾的住院费用可能都花不到一万。）+意外（根据情况可单独购买）。然后就是重疾保多少种、中症多少种、轻症多少种，是否可以多次赔付，保费豁免等等。举个例子，比如有的家庭有糖尿病史选择这种险种会合适吗？还比如有的家庭有心脑血管病史选择那个险种合适吗？有什么独到之处吗？在比如说百万医疗险中，有带有垫付功能的，这个险种是不是更适合家境不是很好的呢？（往往这样的险种会相对更贵一些）还有人给孩子投保选择定期的，但我在想一个问题定期重疾可以保孩子几十年，如果在这几十年罹患重大疾病以后还能买保险吗？第三、在看短视频的时候有一些也提到了险种的功能性，但不是很多。比如重疾险中有带有癌症治疗出院后，治疗药物在医院以外的地方购买凭借小票也可以报销部分的。再比如百万医疗险中有带有购药渠道功能的（我个人感觉有点鸡肋，大神勿喷）等等。第四、基本都在讲一个险种或者一个计划的组合，为什么就不能根据客户的情况多家组合互相弥补呢？每家公司都有每家公司的长处，选择适合你的才是最重要的，如何选择才是最关键的。不管是什么行业，都是为了赚钱，这个无可厚非。但我觉得赚良心钱更踏实一些。还有人说保险越来越难干了，其实我觉得不是保险难干了，只是专业的人越来越多了。致敬那些多年从事保险的专业人士！！！ 收起全文d,01月11日 23:27,我是不是应该买保险,0,,,,
#家庭理财规划# 【家庭保险应该如何配置】（一）在昨天的调查里，排名最高的三个分别是，保险，儿童财商和基金配比。那么接下来就按从高到低的顺序，依次说一下。今天先说的是保险。在配置家庭保险前，请先看一下前面的两篇文章，确保自己已经存够了3-6个月的日常生活开支。然后，才能谈得上保险的选择。第一篇：O网页链接第二篇：O网页链接在看完了这两篇之后，我们至少已经确定了两个事情。1.自己大概每年能够有多少钱，是可以自由支配的。2.家庭的年收入和年大额开销，大概在什么范围。在明确了以上两点后，我们进入保险配置的步骤。在配置保险前，我们需要先明确一下保险的误区。中国的保险行业有个最大的误区就是，就是产品大于需求，大家问得最多的是：买的哪家公司的保险？买的哪个产品？但是很少有人问一句：这个产品，是不是适合自己。就这一点而言，保险公司和其销售人员，对整个市场的引导要负很大的责任。所以，大家需要明确的第一点就是，买保险，关键要看是否满足家庭的财务总体规划，而不是这个产品是怎么被销售人员吹的。（至于总体规划怎么规划，我们后面说。）误区二，就是重小孩轻大人，甚至有给小孩子买高额度寿险却不给大人买重疾。【保险的最大原则，是家庭支柱优先！】换句话说，家里的谁最挣钱，谁的保险优先，小孩子的保险反而可以靠后。因为保险是兜底的，家里的经济来源一旦缺失，这才是最大的危机。误区三，买了一堆保险，最后发现都是废的不切实用，保额明显不足。比如有给小孩买寿险的（真的这是明显被保险公司给忽悠了），有那种小孩子重疾险只管到25岁的（这产品用来干嘛？人最容易生大病的年龄明显是45岁以后），每年交多少最后多年后分红返本的（巨贵无比，仅适合土豪不差钱的，性价比太低，我等穷人必须退散），保额严重不足（比如每年缴费最后只有保额10万？真大病这点钱可以干嘛？）以上三点，都是必须避开的误区，在明确了以上的误区之后，下一篇我们谈谈怎么计算家里每个人需要多少保险，怎么选保险，以便尽量避开各种忽悠。@写书哥 @牛魔王啊 收起全文d,01月10日 17:33,我是不是应该买保险,0,,,,
刚刚扒了个我的购买记录，发现14年给黑龙江的手机号充话费，关键我都忘了。然后想起来我13年我妈给我的手机号，挺好的号码，后来我手机丢了就没补办，刚刚我打电话过去试一下竟然通了，响一声我挂了，我是不是应该等对方接起来然后说请问你要买保险吗，最近新推出了几个业务…… ​,01月07日 21:00,我是不是应该买保险,0,,,,
#保险# 我在网上看到一个话题「为什么说穷人才要买保险？」我个人认为哈，穷人更应该买保险，虽然话不好听，但这就是现实。这里的「穷人」我们划分为家庭年收入在5W元以下的，假设家庭成员某一位，突然得了白血病或者急性心肌梗塞，动辄几十W的医药费，以这个家庭的年收入来看，是独自承受不了这个费用的。承受不了了，怎么办？借钱，借助网络平台、媒体向社会求助，如果得到了媒体和网络平台的帮助，这份治疗费就有了着落，如果没有得到帮助呢？很大可能是等死，家里人不愿放弃，就开始砸锅卖铁，家里变得更穷。假如有一份保险，那么通过保险，我们把变得更穷的风险转移给保险公司，治疗时候有钱可用，家里也不需要砸锅卖铁，是不是就很好呢？那收入低的人，该怎么配备保险呢？个人建议百W医疗一定要有，一人一年几百块还是可以轻松承担的，切记，别买超过自己承担能力的保险。 收起全文d,01月06日 15:26,我是不是应该买保险,0,,,,
今天一个朋友来跟我说，我应该用旅行的钱来买保险，他说：你知道前几天那个新闻吧，住院一个月就花掉了自己20年的积蓄那个，一场病花一百多万啊！是不是很惨？我答：“是很惨，赚20年居然只有100w积蓄”他深深地看了我一眼，没继续给我推销他的保险🌝持续赚钱的能力才是人生最大的保险。#享梦游##享游达人##大学生创业##宝妈兼职##旅行# 收起全文d,01月05日 23:52,我是不是应该买保险,0,,,,
先说答案：我不赞成借钱买保险，但你应该买保险。你可能会问，你这个回答自相矛盾呀，我不是没钱买保险又觉得保险重要才来问的吗？1.先说第一个：今年借了几千块，明年再交钱的时候是不是要借？即使到了明年有钱了，又要交续期又要还钱，压力会很大。再说还有后年呢？一份重疾险要交十几年二十年，靠借肯定是很尴尬的。2.没钱也可以买保险。比如我给我刚出生孩子买的一份保险，一年只要400多块，交20年保30年，保40万。你要问30年后咋办？30年后他自己都30岁了，自己买份保险不行吗？3.你还要问，问题我年龄大了，那样的保险没法买吧？的确，上面说的这份保险适合孩子。你们现在是学生，如果买医疗险的话，一年三四佰块，医疗保障可以有上百万，这些产品支付宝和微信上多的是，自己去搜。4.医疗险也有自己的缺陷，比如报销手续，比如康复费用不报销等等，所以便宜的医疗险等于是你有了一把伞，真要有一所房子遮风避雨的话，还是买一份重疾险吧，不过这个可以等到你们工作之后，自己赚钱了，给自己买。5.总结一句话，保险是必需品，但要量力而行，它本身是一个射幸合同，和你躺在病床等救命钱不是一个概念，最反对有人偷换概念制造焦虑。 O如何看待借钱买保险？ 收起全文d,01月05日 13:41,我是不是应该买保险,0,,,,
【#保险小贴士#买保险，缴费期越短越好吗？】在选择长期、均衡保费的保险时，有20年缴和30年缴两种。不难发现，30年缴的虽然每年要少交些保费，但总保费比20年缴的高。那是不是应该为了节约保费，选择20年缴的 当然不是。实际上，如果我们买30年缴的，再把每年省下的保费放进货币基金滚存，基本上可以把比买20年缴的多交的保费赚回来我们以市面上一款热销的重疾险为例，假设被保人是30岁男性，买50万保额保终身。从表格中可以看到，如果选择30年缴费期，每年可以少交1369元，但总保费多了35330元。如果把每年省下来的1369元，拿去投最简单、稳妥的货币基金，即使按平均年化收益率2%算，每年存1369元，连续存30年，30年后也可以得到55538元，不仅可以弥补这35330元的总保费差，还多出2万多元 从这个角度看，没有必要因为30年和20年的保费差，就非要选择20年缴的#新浪保险i保日# @新浪保险@微博保险 收起全文d,01月03日 20:48,我是不是应该买保险,0,,,,
#体检时效#大多数人体检的时候，发现身体指标异常的时候都会考虑自己是不是应该买份保险，这种情况在30-40岁的群体里尤其多见。一是人到中年问题是比较多；二是此时家庭责任大了，觉得自己应该买份保险。一般保险公司对既往病史的要求是提供最近半年的体检报告（如下图）。最近一个客户，拿着份五月份的体检报告来咨询保险，他体检报告显示“非萎缩性胃炎”，刚好保险公司对这个问询是“近半年体检报告”，而他的体检报告刚好超过保险公司要求“一个月”，这种情况真的很尴尬的：1、如果直接买保险，不符合保险公司要求，万一真的有个什么事，有可能会成为保险公司拒赔的理由。2、如果走保险公司的人工核保，大概率会被要求去复查，而复查一定要做“肠胃镜检查”，这个检查是非常痛苦的，一般人不愿意做。做过检查的人一定深有体会。总是有些人有拖延症，非要拖很久才开始处理这些事情。如何避免这种情况发生：1、体检之前把保险配置好，过了等待期后，定期体检（体检之后再考虑保险，你就不一定可以买保险了）2、体检发现异常指标后，尽早解决保险问题。 收起全文d,01月02日 21:27,我是不是应该买保险,0,,,,
“烧香”本是修行之事，要”这样烧“才能消灾去祸！一般来说，初一、十五和神仙圣诞很多人都去道教宫观烧香许愿。很多道教宫观也以无求不应而闻名遐迩，受到很多信众的朝拜，香火不断。很多人也会以为这是因为自己上香的原因，才会得到神仙的庇佑，因而也会有很多人因为事情不顺利就到宫观上香，祈福禳灾。真的是因为上香的原因吗？很多人对烧香的事情表示怀疑，烧香真的有这么大的功用吗？为什么要去道观烧香？烧香有什么好处？为什么在道教宫观求神许愿会比较灵？是不是只要求神许愿，神仙都会满足心愿呢？带着这些问题，我们一起看看到道观里面烧香的那些事。道教焚香只是通信，心诚方可感通三界“九天之上，惟道独尊。万法之中，焚香为先。”焚香是供养神仙的主要方式之一。因为香烟缭绕可以结成云篆，可以上达天庭，奏表悃诚之意，所以上香前必须祝之以使心诚意真。在《祝香咒》中有“道由心学，心假香传。”也就是说，修道者用诚心来修道，借用焚香来表达自己得诚心诚意，将悃诚之意传达仙境。许多修道者都是通过虔诚焚香感应到三界的真师，为其传道解疑。历史上那些著名的修道大家，至少有一半以上都是通过焚香这种方式求得真师真法的。那么，是不是只要心诚了就一定能感通神仙呢？在道教科仪中，有“香自诚心起，烟从信里来。一诚通天界，诸真下瑶阶。”从这句话，不难看出焚香需要心诚，烟便是通信的主要媒介，心诚就能感通三界，这样神仙都会下凡看我们了。也正是因为这个原因，很多人都道教宫观都会烧香，也会虔诚地稽首磕头，希望能所求遂愿，无求不应。那么，是不是只要心诚了就一定能感通神仙呢？在道教科仪中，有“香自诚心起，烟从信里来。一诚通天界，诸真下瑶阶。”从这句话，不难看出焚香需要心诚，烟便是通信的主要媒介，心诚就能感通三界，这样神仙都会下凡看我们了。也正是因为这个原因，很多人都道教宫观都会烧香，也会虔诚地稽首磕头，希望能所求遂愿，无求不应。道教认为，“道”是宇宙的本体，万物的本源，万物运行的规律以及人间伦理道德纲常。“德”是道的外化及功能。神仙是循德而上，在精神和肉体及伦理道德超越于世俗的精神实体。神仙既是道的化身，又是人类道德的楷模。道教以道为最高信仰，用“道德”思想告谕、教化众生，追求天人合一、宇宙和谐、天下太平，教导人们通过修道积德达到安乐幸福、长生久视、得道成仙。赐福消灾同赖善功，天道无亲常与善人求神许愿之后，很多人都会想着愿望会不会实现。那么，是不是所有的愿望都会实现？是不是只要供品多就能得到神仙的眷顾呢？对于这些问题，在很多道教经典中都有提及，比如《道德经》有“天道无亲，常与善人”，《三官经》有“赐福消灾，同赖善功。另外，在很多道教善书中也作了专门的讲解。从这句话不难看出，神仙不分亲疏，总是把善果报应善人。所以给大家赐福消灾并不是仅仅因为许愿或者求神仙了，而是因为自身的善功。同样，也会有人问：为什么我烧香这么久，还会有这么多不顺和不快，为什么我的生意不挣钱，为什么我家里人得病，为什么儿子不听话，为什么我没房没车，很多人都比我强呢？《文昌帝君阴鸷文》有：“欲广福田，须凭心地。行时时之方便，作种种之阴功。利物利人，修善修福。正直代天行化，慈祥为国救民。存平等心，扩宽大量。忠主孝亲，敬兄信友。各睦夫妇，教训子孙。毋慢师长，毋侮圣言。”由此可见，需要修福修善必须从心底上下功夫，而不是做表面工夫，做到“行时时之方便，作种种之阴功”，以至于“利物利人，修善修福”，“人能如此存心，天必赐福于他”。如果凭心做事，《太上感应篇》中有“司过之神依人犯轻重，以夺人算。算减则贫耗，多逢忧患，人皆恶之，刑祸随之，吉庆避之，恶星灾之，算尽则死。又有三台北斗神君，在人头上，录人罪恶，夺其纪算。又有三尸神，在人身中，每到庚申日，辄上诣天曹，言人罪过。月晦之日，灶神亦然。凡人有过，大则夺纪，小则夺算。其过大小，有数百事，欲求长生者，先须避之。”所以，就算烧香很多年，每个月都去宫观烧香，也未必能避免厄运的降临。香供养神仙不是在表忠心，交保护费，买保险，所以信神仙就按照神仙的教导去完善自己，勤修福慧，自然百福骈臻，千祥云集。结交仙友栖集清虚，永断执迷咸归至道道教是长生久视之道，是升天得道之道，而不是让他套上更多的枷锁，以至于通过求神许愿获取那些短期利益，朝真拜斗获取消灾解难。如果真的这样，就好比走入福堂转了一圈，只解决了自身问题，而没有得到实质性的利益。《早课经》有：“思沉沦苦，发清净心，皈奉圣真，特求忏悔，丐怜愚昧。原赦罪愆，解释报冤，蠲消魔障，所觊命逢昌运，名注丹台。际遇真师，亲闻至道，精修妙行，增长善芽，尽节玄门，怡神真境。他日运应灭度，自性不致昏迷。径生十善之家。能通宿命，还证上乘之道，承侍虚皇。”所以，皈依正道，结交仙友，以至于栖集清虚，而长生久视。而不仅仅只是求神许愿，满足日常生活安定无虞，更应该“存平等心，扩宽大量”、“语善，视善，行善”，德蒙神仙赐福消灾，永断执迷咸归至道。 收起全文d,2019年12月31日 09:08,我是不是应该买保险,0,,,,
#中国爷爷、美国爷爷#中国爷爷都会那么做吗？不尽然！但会那么做的，绝对不在少数！美国爷爷是不是都会这样？也不尽然，但会这么做的，应该是大多数吧！这两张图片提示我们，面对人生，你的态度如何，结果就如何！犹太民族比普通美国人保险高10倍，比普通中国人更是高达260倍！因为他们清楚财富传承比企业传承更重要为了子孙好，为了你的家族兴旺。也许现在，我们就可以去做些什么。“一张保单三代受益”，说的就是这个道理。有些保险你买了之后，就好比你种了一棵树，你终身乃至子孙后代都可在此乘凉。趁年轻，去做一些兴旺你家族的事情，到老了也许就力不从心了。保险：没事存钱，有事赔钱，老了领钱！买保险不是消费，而是把钱从你的左口袋挪到右口袋。总之，还是你的钱。一旦发生风险，就有了保障。当然，保险最重要的功能是“有事、赔钱”！对于普通人来说，利用保险的强制储蓄功能，为自己存一笔养老钱就更加重要了。创业容易守业难，财富传承更是需要人们花心思。从 “创一代” 到 “富二代”，保险是首选的传承方式，它轻松打破 “富不过三代” 的 “魔咒”，将财富完美地传承下去！ 收起全文d,2019年12月30日 17:31,我是不是应该买保险,0,,,,
看有人说国内不先交10万，不给抢救，致死。这种事情我没看到过也不知道是不是真的，但我想如果你有医保，或是买了医疗保险大病医保等，应该不会遇到这种情况。我就不信在美国你不买保险不付医疗费，将死之人医院也会不计成本还免费的给你抢救吗？若是免费，医生的高薪收入谁来支付？美国政府来支付吗？ ​,2019年12月29日 08:33,我是不是应该买保险,0,,,,
